YEAR,INNINGS_OVER_BALL,BATSMAN,BOWLER,BOWL_SPEED,CREDIT,DEBIT,IS_RHB,PITCHED_X,PITCHED_Y,STUMPS_Y,STUMPS_Z,LANDING_X,LANDING_Y
2017,2017.15.1.0.1,Sanju Samson,Sandeep Sharma,34.910,0,0,y,4.153,-0.019,0.200,0.496,62,44
2017,2017.15.1.0.2,Sanju Samson,Sandeep Sharma,35.704,0,0,y,6.715,-0.363,-0.155,0.650,38,43
2017,2017.15.1.0.3,Sanju Samson,Sandeep Sharma,35.630,4,4,y,6.790,-0.110,0.299,0.757,80,12
2017,2017.15.1.0.4,Sanju Samson,Sandeep Sharma,36.630,0,0,y,6.578,-0.536,-0.553,0.620,32,34
2017,2017.15.1.0.5,Sanju Samson,Sandeep Sharma,36.405,0,0,y,8.108,-0.459,-0.455,0.798,35,24
2017,2017.15.1.0.6,Sanju Samson,Sandeep Sharma,34.601,4,4,y,8.784,-0.533,-0.767,0.935,8,50
2017,2017.15.1.1.1,Sam Billings,Mohit Sharma,35.583,0,0,y,8.651,-0.235,-0.199,0.944,37,34
2017,2017.15.1.1.2,Sam Billings,Mohit Sharma,37.152,0,0,y,8.349,-0.273,-0.301,0.800,44,60
2017,2017.15.1.1.3,Sam Billings,Mohit Sharma,37.953,0,0,y,8.752,-0.274,-0.306,0.875,58,46
2017,2017.15.1.1.4,Sam Billings,Mohit Sharma,37.230,4,4,y,8.951,-0.359,-0.357,1.130,64,91
2017,2017.15.1.1.5,Sam Billings,Mohit Sharma,35.985,4,4,y,10.446,-0.485,-0.545,1.268,77,81
2017,2017.15.1.1.6,Sam Billings,Mohit Sharma,37.448,1,1,y,7.833,-0.214,-0.036,0.760,59,59
2017,2017.15.1.2.1,Sam Billings,Sandeep Sharma,36.265,0,0,y,6.616,-0.296,-0.274,0.530,64,43
2017,2017.15.1.2.2,Sam Billings,Sandeep Sharma,35.477,0,0,y,8.214,-0.451,-0.612,0.743,32,36
2017,2017.15.1.2.3,Sam Billings,Sandeep Sharma,37.818,0,0,y,8.725,-0.163,-0.075,0.836,48,43
2017,2017.15.1.2.4,Sam Billings,Sandeep Sharma,35.539,0,0,y,1.409,-0.071,-0.064,0.184,65,44
2017,2017.15.1.2.5,Sam Billings,Sandeep Sharma,37.383,4,4,y,5.093,-0.326,-0.344,0.473,86,17
2017,2017.15.1.2.6,Sam Billings,Sandeep Sharma,37.351,1,1,y,8.042,-0.436,-0.502,0.668,39,49
2017,2017.15.1.3.1,Sam Billings,Axar Patel,26.702,1,1,y,6.303,-0.256,0.112,0.635,56,22
2017,2017.15.1.3.2,Sanju Samson,Axar Patel,26.819,1,1,y,5.796,-0.143,0.267,0.622,82,38
2017,2017.15.1.3.3,Sam Billings,Axar Patel,28.882,1,1,y,7.637,-0.431,-0.088,0.849,79,50
2017,2017.15.1.3.4,Sanju Samson,Axar Patel,26.218,1,1,y,5.902,-0.047,0.337,0.810,80,38
2017,2017.15.1.3.5,Sam Billings,Axar Patel,25.509,1,1,y,6.484,-0.083,0.294,0.686,71,77
2017,2017.15.1.3.6,Sanju Samson,Axar Patel,27.057,0,0,y,5.744,-0.128,0.132,0.698,60,58
2017,2017.15.1.4.1,Sam Billings,Varun Aaron,39.242,0,0,y,7.920,-0.270,-0.112,0.781,47,39
2017,2017.15.1.4.2,Sam Billings,Varun Aaron,40.136,4,4,y,6.360,-0.314,-0.145,0.597,60,92
2017,2017.15.1.4.3,Sam Billings,Varun Aaron,37.025,4,4,y,9.703,-0.326,-0.068,1.041,90,62
2017,2017.15.1.4.4,Sam Billings,Varun Aaron,37.921,4,4,y,4.740,0.095,0.325,0.555,86,17
