YEAR,INNINGS_OVER_BALL,BATSMAN,BOWLER,BOWL_SPEED,CREDIT,DEBIT,IS_RHB,PITCHED_X,PITCHED_Y,STUMPS_Y,STUMPS_Z,LANDING_X,LANDING_Y
2017,2017.52.1.0.1,Sanju Samson,Jaydev Unadkat,36.996,0,0,y,6.042,-0.160,-0.534,0.777,5,5
2017,2017.52.1.0.2,Sanju Samson,Jaydev Unadkat,36.753,1,1,y,6.777,-0.097,-0.349,0.906,21,40
2017,2017.52.1.0.3,Karun Nair,Jaydev Unadkat,37.912,1,1,y,8.407,-0.019,-0.672,0.847,15,37
2017,2017.52.1.0.4,Sanju Samson,Jaydev Unadkat,32.908,0,0,y,6.630,0.150,-0.245,0.768,39,37
2017,2017.52.1.0.5,Sanju Samson,Jaydev Unadkat,34.082,1,1,y,6.547,0.172,-0.081,0.804,68,39
2017,2017.52.1.0.6,Karun Nair,Jaydev Unadkat,33.451,0,0,y,7.968,0.077,-0.546,0.885,0,0
2017,2017.52.1.1.1,Karun Nair,Shardul Thakur,37.884,2,2,y,7.680,-0.125,0.110,0.864,84,48
2017,2017.52.1.1.2,Karun Nair,Shardul Thakur,38.429,1,1,y,9.526,-0.235,-0.013,0.945,38,31
2017,2017.52.1.1.3,Shreyas Iyer,Shardul Thakur,37.414,0,0,y,6.816,-0.238,-0.243,0.667,40,24
2017,2017.52.1.1.4,Shreyas Iyer,Shardul Thakur,37.931,0,0,y,8.331,-0.224,-0.020,0.805,38,40
2017,2017.52.1.1.5,Shreyas Iyer,Shardul Thakur,37.786,3,3,y,8.527,-0.202,-0.027,0.848,92,44
2017,2017.52.1.1.6,Karun Nair,Shardul Thakur,39.190,0,0,y,7.747,-0.297,-0.184,0.881,38,26
2017,2017.52.1.2.1,Shreyas Iyer,Jaydev Unadkat,36.071,0,0,y,7.961,-0.084,-0.658,0.952,0,0
2017,2017.52.1.2.2,Rishabh Pant,Jaydev Unadkat,37.279,0,0,n,9.418,0.433,0.295,1.114,66,39
2017,2017.52.1.2.3,Rishabh Pant,Jaydev Unadkat,33.664,1,1,n,9.021,0.527,0.125,1.224,64,25
2017,2017.52.1.2.4,Karun Nair,Jaydev Unadkat,33.125,1,1,y,8.411,0.292,-0.200,0.874,40,23
2017,2017.52.1.2.5,Rishabh Pant,Jaydev Unadkat,34.627,0,0,n,7.924,0.532,0.249,0.882,66,39
2017,2017.52.1.2.6,Rishabh Pant,Jaydev Unadkat,33.237,0,0,n,9.220,0.525,0.275,1.224,66,33
2017,2017.52.1.3.1,Karun Nair,Washington Sundar,27.280,4,4,y,5.955,-0.306,-0.114,0.710,88,18
