YEAR,INNINGS_OVER_BALL,BATSMAN,BOWLER,BOWL_SPEED,CREDIT,DEBIT,IS_RHB,PITCHED_X,PITCHED_Y,STUMPS_Y,STUMPS_Z,LANDING_X,LANDING_Y
2016,2016.43.1.0.1,Rohit Sharma,Sandeep Sharma,34.971,4,4,y,5.351,-0.049,0.381,0.652,63,7
2016,2016.43.1.0.2,Rohit Sharma,Sandeep Sharma,34.574,0,0,y,7.117,-0.419,-0.108,0.788,44,39
2016,2016.43.1.0.3,Rohit Sharma,Sandeep Sharma,35.252,0,0,y,6.774,-0.676,-0.642,0.832,34,40
2016,2016.43.1.0.4,Rohit Sharma,Sandeep Sharma,35.916,0,0,y,7.329,-0.402,-0.134,0.803,44,39
2016,2016.43.1.0.5,Rohit Sharma,Sandeep Sharma,37.213,1,1,y,7.485,-0.467,-0.579,0.714,36,10
2016,2016.43.1.0.6,Unmukt Chand,Sandeep Sharma,35.998,0,0,y,7.239,-0.473,-0.225,1.039,46,40
2016,2016.43.1.1.1,Rohit Sharma,Mohit Sharma,37.319,0,0,y,4.361,-0.361,-0.468,0.470,36,45
2016,2016.43.1.1.2,Rohit Sharma,Mohit Sharma,35.943,0,0,y,6.881,-0.143,-0.086,0.716,58,55
2016,2016.43.1.1.3,Rohit Sharma,Mohit Sharma,35.827,1,1,y,6.740,-0.303,-0.239,0.622,60,23
2016,2016.43.1.1.4,Unmukt Chand,Mohit Sharma,36.176,0,1,y,11.879,-0.086,0.592,1.464,5,5
2016,2016.43.1.1.5,Unmukt Chand,Mohit Sharma,37.431,0,0,y,5.286,-0.137,-0.064,0.523,58,55
2016,2016.43.1.1.6,Unmukt Chand,Mohit Sharma,37.484,0,0,y,8.129,-0.340,-0.429,0.785,5,5
2016,2016.43.1.1.7,Unmukt Chand,Mohit Sharma,36.005,0,0,y,10.223,-0.297,-0.385,1.156,0,0
2016,2016.43.1.2.1,Rohit Sharma,Sandeep Sharma,34.741,0,0,y,7.956,-0.364,-0.058,0.765,66,40
2016,2016.43.1.2.2,Rohit Sharma,Sandeep Sharma,35.026,1,1,y,9.525,-0.423,-0.200,0.923,88,41
2016,2016.43.1.2.3,Ambati Rayudu,Sandeep Sharma,36.159,0,0,y,6.530,-0.389,-0.092,0.671,60,41
2016,2016.43.1.2.4,Ambati Rayudu,Sandeep Sharma,35.148,0,0,y,9.124,-0.556,-0.466,0.909,33,28
2016,2016.43.1.2.5,Ambati Rayudu,Sandeep Sharma,34.830,0,0,y,5.954,-0.373,-0.005,0.592,0,0
2016,2016.43.1.2.6,Nitish Rana,Sandeep Sharma,35.031,0,0,n,7.951,-0.169,0.070,0.632,40,42
2016,2016.43.1.3.1,Rohit Sharma,Axar Patel,26.239,1,1,y,6.638,-0.212,0.021,0.886,72,46
2016,2016.43.1.3.2,Nitish Rana,Axar Patel,25.274,1,1,n,5.397,0.413,0.121,0.765,43,23
2016,2016.43.1.3.3,Rohit Sharma,Axar Patel,24.964,1,1,y,6.202,-0.311,-0.022,0.686,38,81
2016,2016.43.1.3.4,Nitish Rana,Axar Patel,25.008,1,1,n,5.606,0.390,0.197,0.603,34,27
2016,2016.43.1.3.5,Rohit Sharma,Axar Patel,23.395,0,0,y,6.096,-0.381,-0.576,0.729,5,5
2016,2016.43.1.3.6,Rohit Sharma,Axar Patel,26.820,0,0,y,4.157,-0.299,-0.112,0.581,58,57
2016,2016.43.1.4.1,Nitish Rana,Sandeep Sharma,34.609,0,0,n,6.380,0.094,0.436,0.703,61,50
2016,2016.43.1.4.2,Nitish Rana,Sandeep Sharma,36.698,0,0,n,7.568,0.006,0.293,0.625,60,39
2016,2016.43.1.4.3,Nitish Rana,Sandeep Sharma,36.032,0,0,n,5.489,0.139,0.403,0.600,66,39
2016,2016.43.1.4.4,Nitish Rana,Sandeep Sharma,35.893,1,1,n,7.240,0.179,0.423,0.708,76,14
2016,2016.43.1.4.5,Rohit Sharma,Sandeep Sharma,36.032,1,1,y,4.707,-0.168,-0.090,0.475,64,83
2016,2016.43.1.4.6,Nitish Rana,Sandeep Sharma,-1.000,0,0,n,,,,,5,5
2016,2016.43.1.5.1,Rohit Sharma,Mohit Sharma,37.418,0,0,y,7.769,-0.089,0.236,0.907,66,44
2016,2016.43.1.5.2,Rohit Sharma,Mohit Sharma,36.835,1,1,y,2.281,-0.159,-0.144,0.254,40,21
2016,2016.43.1.5.3,Nitish Rana,Mohit Sharma,37.340,0,0,n,9.115,-0.034,0.308,1.076,45,39
2016,2016.43.1.5.4,Nitish Rana,Mohit Sharma,35.375,0,0,n,6.962,0.162,0.616,0.697,5,5
2016,2016.43.1.5.5,Nitish Rana,Mohit Sharma,34.404,6,6,n,11.701,-0.068,0.572,1.630,13,16
2016,2016.43.1.5.6,Nitish Rana,Mohit Sharma,32.080,0,0,n,6.339,0.115,0.402,0.567,63,38
2016,2016.43.1.6.1,Rohit Sharma,Marcus Stoinis,34.540,1,1,y,7.674,-0.648,-0.752,0.838,34,25
2016,2016.43.1.6.2,Nitish Rana,Marcus Stoinis,35.326,1,1,n,8.837,-0.219,0.130,0.936,84,44
2016,2016.43.1.6.3,Rohit Sharma,Marcus Stoinis,34.566,0,0,y,8.280,-0.335,-0.056,0.975,60,45
