YEAR,INNINGS_OVER_BALL,BATSMAN,BOWLER,BOWL_SPEED,CREDIT,DEBIT,IS_RHB,PITCHED_X,PITCHED_Y,STUMPS_Y,STUMPS_Z,LANDING_X,LANDING_Y
2013,2013.34.1.0.1,Quinton de Kock,Mohit Sharma,37.052,0,0,n,9.256,0.694,0.399,0.989,45,60
2013,2013.34.1.0.2,Quinton de Kock,Mohit Sharma,37.199,4,4,n,6.184,0.657,0.399,0.605,96,46
2013,2013.34.1.0.3,Quinton de Kock,Mohit Sharma,37.152,0,0,n,6.632,0.508,0.252,0.677,0,0
2013,2013.34.1.0.4,Hanuma Vihari,Mohit Sharma,35.919,0,0,y,8.269,-0.399,-0.301,0.848,36,31
2013,2013.34.1.0.5,Hanuma Vihari,Mohit Sharma,38.186,1,1,y,7.787,-0.461,-0.471,0.839,19,19
2013,2013.34.1.0.6,Shikhar Dhawan,Mohit Sharma,35.072,1,1,n,6.782,0.621,0.442,0.570,72,14
2013,2013.34.1.1.1,Shikhar Dhawan,Jason Holder,37.922,0,1,n,10.549,-0.669,-0.378,1.296,5,5
2013,2013.34.1.1.2,Shikhar Dhawan,Jason Holder,34.804,0,0,n,9.135,-0.279,0.361,1.035,66,37
2013,2013.34.1.1.3,Shikhar Dhawan,Jason Holder,33.056,0,1,n,7.649,-0.609,-0.519,1.086,5,5
2013,2013.34.1.1.4,Shikhar Dhawan,Jason Holder,35.037,1,1,n,7.621,-0.185,0.426,0.996,78,21
2013,2013.34.1.1.5,Hanuma Vihari,Jason Holder,36.633,1,1,y,9.629,-0.391,0.170,1.244,81,19
2013,2013.34.1.1.6,Shikhar Dhawan,Jason Holder,34.536,0,0,n,8.255,-0.197,0.400,0.911,67,29
2013,2013.34.1.1.7,Shikhar Dhawan,Jason Holder,34.670,2,2,n,5.811,0.200,0.761,0.617,90,31
2013,2013.34.1.1.8,Shikhar Dhawan,Jason Holder,37.081,0,0,n,7.844,-0.178,0.333,0.966,0,0
2013,2013.34.1.2.1,Shikhar Dhawan,Mohit Sharma,37.638,0,0,n,9.367,0.833,0.570,0.923,67,34
2013,2013.34.1.2.2,Shikhar Dhawan,Mohit Sharma,36.993,0,0,n,9.029,0.729,0.249,0.868,60,30
2013,2013.34.1.2.3,Shikhar Dhawan,Mohit Sharma,36.771,0,0,n,8.261,0.689,0.448,0.732,69,38
2013,2013.34.1.2.4,Shikhar Dhawan,Mohit Sharma,35.295,0,0,n,9.649,0.567,0.188,0.854,59,39
2013,2013.34.1.2.5,Shikhar Dhawan,Mohit Sharma,38.662,1,1,n,3.510,0.214,-0.005,0.434,54,41
2013,2013.34.1.2.6,Cameron White,Mohit Sharma,37.595,0,0,y,5.610,-0.347,-0.285,0.588,40,36
2013,2013.34.1.3.1,Shikhar Dhawan,Jason Holder,38.343,0,0,n,11.409,-0.493,0.073,1.655,5,5
2013,2013.34.1.3.2,Shikhar Dhawan,Jason Holder,35.607,4,4,n,10.052,-0.403,0.420,1.356,12,58
2013,2013.34.1.3.3,Shikhar Dhawan,Jason Holder,33.376,0,0,n,8.317,-0.163,0.393,1.016,66,32
2013,2013.34.1.3.4,Shikhar Dhawan,Jason Holder,36.901,4,4,n,10.191,-0.375,0.222,1.290,6,45
2013,2013.34.1.3.5,Shikhar Dhawan,Jason Holder,36.366,1,1,n,8.481,-0.273,0.271,0.927,60,68
2013,2013.34.1.3.6,Cameron White,Jason Holder,36.419,2,2,y,6.841,-0.245,0.122,0.745,79,63
2013,2013.34.1.4.1,Shikhar Dhawan,Mohit Sharma,37.066,4,4,n,9.287,0.760,0.544,0.943,92,27
2013,2013.34.1.4.2,Shikhar Dhawan,Mohit Sharma,38.285,0,0,n,13.178,0.775,0.304,1.618,5,5
2013,2013.34.1.4.3,Shikhar Dhawan,Mohit Sharma,38.130,4,4,n,5.472,0.549,0.420,0.558,89,59
2013,2013.34.1.4.4,Shikhar Dhawan,Mohit Sharma,37.519,1,1,n,3.499,0.812,0.745,0.402,83,19
2013,2013.34.1.4.5,Cameron White,Mohit Sharma,36.428,0,0,y,8.127,-0.348,-0.256,0.808,0,0
2013,2013.34.1.4.6,Amit Mishra,Mohit Sharma,38.104,0,0,y,12.369,-0.209,-0.049,1.711,5,5
2013,2013.34.1.5.1,Shikhar Dhawan,Ravichandran Ashwin,23.292,1,1,n,4.206,0.179,0.269,0.746,66,28
2013,2013.34.1.5.2,Amit Mishra,Ravichandran Ashwin,24.598,0,0,y,6.789,-0.257,0.192,0.926,63,28
2013,2013.34.1.5.3,Amit Mishra,Ravichandran Ashwin,24.675,0,0,y,5.169,-0.494,-0.370,0.524,39,43
2013,2013.34.1.5.4,Amit Mishra,Ravichandran Ashwin,23.286,1,1,y,5.876,-0.468,0.130,0.786,82,19
2013,2013.34.1.5.5,Shikhar Dhawan,Ravichandran Ashwin,26.381,1,1,n,3.273,-0.005,-0.173,0.623,34,74
2013,2013.34.1.5.6,Amit Mishra,Ravichandran Ashwin,24.445,0,0,y,6.309,-0.141,0.426,0.640,5,5
2013,2013.34.1.6.1,Shikhar Dhawan,Jason Holder,36.921,1,1,n,8.536,0.393,0.129,0.952,68,30
2013,2013.34.1.6.2,Amit Mishra,Jason Holder,37.822,0,0,y,7.003,-0.379,-0.104,0.804,36,40
2013,2013.34.1.6.3,Amit Mishra,Jason Holder,38.203,0,0,y,6.398,-0.233,0.146,0.750,5,5
2013,2013.34.1.6.4,Amit Mishra,Jason Holder,36.957,0,0,y,10.651,-0.540,0.085,1.489,5,5
2013,2013.34.1.6.5,Amit Mishra,Jason Holder,39.334,4,4,y,9.927,-0.514,-0.048,1.365,55,6
2013,2013.34.1.6.6,Amit Mishra,Jason Holder,37.961,4,4,y,10.394,-0.638,-0.181,1.131,90,61
2013,2013.34.1.7.1,Shikhar Dhawan,Ravichandran Ashwin,24.140,1,1,n,7.043,0.145,-0.086,0.765,22,21
2013,2013.34.1.7.2,Amit Mishra,Ravichandran Ashwin,23.158,1,1,y,5.714,-0.318,-0.072,0.822,64,14
