YEAR,INNINGS_OVER_BALL,BATSMAN,BOWLER,BOWL_SPEED,CREDIT,DEBIT,IS_RHB,PITCHED_X,PITCHED_Y,STUMPS_Y,STUMPS_Z,LANDING_X,LANDING_Y
2012,2012.45.1.0.1,James Franklin,Murali Kartik,22.846,0,0,y,5.229,0.209,0.165,0.577,48,40
2012,2012.45.1.0.2,James Franklin,Murali Kartik,25.052,2,2,y,6.653,-0.359,-0.184,0.418,10,27
2012,2012.45.1.0.3,James Franklin,Murali Kartik,24.402,1,1,y,6.428,-0.139,0.091,0.543,12,41
2012,2012.45.1.0.4,Sachin Tendulkar,Murali Kartik,25.809,0,0,y,4.589,-0.271,-0.169,0.486,5,5
2012,2012.45.1.0.5,Sachin Tendulkar,Murali Kartik,24.015,1,1,y,6.266,-0.165,-0.072,0.433,82,42
2012,2012.45.1.0.6,James Franklin,Murali Kartik,25.871,0,0,y,3.179,0.172,0.353,0.481,50,40
2012,2012.45.1.1.1,Sachin Tendulkar,Ashok Dinda,37.392,0,0,y,4.482,-0.293,-0.392,0.400,40,55
2012,2012.45.1.1.2,Sachin Tendulkar,Ashok Dinda,36.544,0,0,y,7.080,-0.314,-0.482,0.570,35,38
2012,2012.45.1.1.3,Sachin Tendulkar,Ashok Dinda,37.300,0,0,y,7.470,-0.338,-0.523,0.484,33,37
2012,2012.45.1.1.4,Sachin Tendulkar,Ashok Dinda,37.747,0,0,y,6.914,-0.178,-0.045,0.542,57,51
2012,2012.45.1.1.5,Sachin Tendulkar,Ashok Dinda,36.735,0,0,y,8.576,-0.026,0.297,0.756,60,22
2012,2012.45.1.1.6,Sachin Tendulkar,Ashok Dinda,37.579,0,0,y,9.408,-0.289,-0.036,0.553,39,51
2012,2012.45.1.2.1,James Franklin,Wayne Parnell,38.528,0,0,y,8.157,0.346,0.333,0.644,49,38
2012,2012.45.1.2.2,James Franklin,Wayne Parnell,39.004,1,1,y,6.706,0.233,0.153,0.526,44,63
2012,2012.45.1.2.3,Sachin Tendulkar,Wayne Parnell,35.825,1,1,y,7.890,-0.070,-0.420,0.805,35,50
2012,2012.45.1.2.4,James Franklin,Wayne Parnell,40.102,0,0,y,10.226,0.365,0.395,0.915,5,5
2012,2012.45.1.2.5,James Franklin,Wayne Parnell,39.270,0,0,y,10.264,0.291,0.393,0.904,62,28
2012,2012.45.1.2.6,James Franklin,Wayne Parnell,39.931,0,1,y,9.765,0.374,0.350,1.049,65,28
2012,2012.45.1.2.7,James Franklin,Wayne Parnell,38.995,4,4,y,5.560,0.014,-0.218,0.419,15,70
2012,2012.45.1.3.1,Sachin Tendulkar,Ashok Dinda,37.157,0,0,y,8.226,-0.017,0.369,0.728,5,5
2012,2012.45.1.3.2,Sachin Tendulkar,Ashok Dinda,37.254,4,4,y,7.736,-0.184,0.083,0.707,69,88
2012,2012.45.1.3.3,Sachin Tendulkar,Ashok Dinda,37.291,4,4,y,6.676,-0.344,-0.258,0.589,37,91
2012,2012.45.1.3.4,Sachin Tendulkar,Ashok Dinda,37.948,4,4,y,-0.419,-0.166,-0.177,0.106,12,20
2012,2012.45.1.3.5,Sachin Tendulkar,Ashok Dinda,37.623,0,0,y,7.669,-0.314,-0.198,0.597,33,38
2012,2012.45.1.3.6,Sachin Tendulkar,Ashok Dinda,37.100,1,1,y,7.926,-0.123,0.185,0.533,84,28
2012,2012.45.1.4.1,Sachin Tendulkar,Bhuvneshwar Kumar,36.961,1,1,y,7.589,-0.473,-0.274,0.571,40,55
2012,2012.45.1.4.2,James Franklin,Bhuvneshwar Kumar,37.206,0,0,y,8.153,-0.268,-0.024,0.555,5,5
2012,2012.45.1.4.3,Sachin Tendulkar,Bhuvneshwar Kumar,33.662,0,0,y,7.567,-0.061,0.234,0.710,48,38
2012,2012.45.1.4.4,Sachin Tendulkar,Bhuvneshwar Kumar,36.358,1,1,y,8.528,-0.541,-0.431,0.513,36,25
2012,2012.45.1.4.5,James Franklin,Bhuvneshwar Kumar,33.572,0,0,y,9.489,-0.111,0.478,0.561,63,34
2012,2012.45.1.4.6,James Franklin,Bhuvneshwar Kumar,33.033,1,1,y,7.030,-0.126,0.087,0.674,32,40
2012,2012.45.1.5.1,James Franklin,Ashish Nehra,37.352,0,0,y,9.425,0.241,-0.096,0.831,37,36
2012,2012.45.1.5.2,James Franklin,Ashish Nehra,37.654,6,6,y,6.972,0.259,-0.073,0.634,8,77
2012,2012.45.1.5.3,James Franklin,Ashish Nehra,37.906,0,0,y,9.131,0.479,0.270,0.814,64,30
2012,2012.45.1.5.4,James Franklin,Ashish Nehra,36.366,4,4,y,9.877,0.520,0.255,1.163,61,6
2012,2012.45.1.5.5,James Franklin,Ashish Nehra,36.567,4,4,y,9.575,0.401,-0.059,1.020,9,53
2012,2012.45.1.5.6,James Franklin,Ashish Nehra,37.689,0,0,y,9.585,0.521,0.249,1.028,66,33
2012,2012.45.1.6.1,Sachin Tendulkar,Murali Kartik,26.242,1,1,y,4.103,-0.012,0.119,0.516,84,34
2012,2012.45.1.6.2,James Franklin,Murali Kartik,24.066,1,1,y,5.377,0.542,0.680,0.700,66,27
2012,2012.45.1.6.3,Sachin Tendulkar,Murali Kartik,26.243,1,1,y,5.267,0.131,0.283,0.643,62,23
2012,2012.45.1.6.4,James Franklin,Murali Kartik,28.790,1,1,y,6.981,-0.045,0.340,0.644,68,71
2012,2012.45.1.6.5,Sachin Tendulkar,Murali Kartik,27.415,2,2,y,5.419,-0.115,-0.065,0.650,18,68
2012,2012.45.1.6.6,Sachin Tendulkar,Murali Kartik,26.566,1,1,y,6.207,-0.323,-0.452,0.652,64,23
2012,2012.45.1.7.1,Sachin Tendulkar,Bhuvneshwar Kumar,36.870,0,0,y,7.608,-0.140,0.216,0.667,60,38
2012,2012.45.1.7.2,Sachin Tendulkar,Bhuvneshwar Kumar,36.622,1,1,y,11.429,-0.496,0.192,0.992,48,34
2012,2012.45.1.7.3,James Franklin,Bhuvneshwar Kumar,33.411,0,0,y,9.178,-0.023,0.433,0.430,56,43
2012,2012.45.1.7.4,James Franklin,Bhuvneshwar Kumar,35.888,0,0,y,9.841,-0.107,0.478,0.990,0,0
2012,2012.45.1.7.5,Sachin Tendulkar,Bhuvneshwar Kumar,37.143,1,1,y,9.567,-0.323,0.045,0.743,66,68
2012,2012.45.1.7.6,Rohit Sharma,Bhuvneshwar Kumar,36.924,1,1,y,9.206,-0.222,0.279,0.563,80,31
2012,2012.45.1.8.1,Rohit Sharma,Michael Clarke,24.467,1,1,y,3.688,-0.253,-0.538,0.361,36,40
2012,2012.45.1.8.2,Sachin Tendulkar,Michael Clarke,23.771,0,0,y,5.461,-0.055,0.238,0.553,5,5
2012,2012.45.1.8.3,Rohit Sharma,Michael Clarke,24.874,1,1,y,4.930,-0.107,0.215,0.584,60,40
2012,2012.45.1.8.4,Sachin Tendulkar,Michael Clarke,24.969,1,1,y,3.948,-0.333,-0.360,0.629,82,30
2012,2012.45.1.8.5,Rohit Sharma,Michael Clarke,24.113,0,0,y,5.492,-0.259,-0.337,0.686,53,39
2012,2012.45.1.8.6,Rohit Sharma,Michael Clarke,24.604,0,0,y,4.921,-0.111,0.135,0.590,0,0
2012,2012.45.1.9.1,Sachin Tendulkar,Murali Kartik,23.594,0,5,y,5.078,0.114,0.348,0.466,5,5
2012,2012.45.1.9.2,Sachin Tendulkar,Murali Kartik,25.461,4,4,y,4.959,-0.024,-0.063,0.480,60,6
2012,2012.45.1.9.3,Sachin Tendulkar,Murali Kartik,24.872,1,1,y,4.654,0.021,0.065,0.458,70,49
2012,2012.45.1.9.4,Robin Peterson,Murali Kartik,23.187,0,0,y,4.910,0.017,-0.020,0.515,36,34
2012,2012.45.1.9.5,Robin Peterson,Murali Kartik,23.893,4,4,y,3.453,0.368,0.410,0.235,61,6
2012,2012.45.1.9.6,Robin Peterson,Murali Kartik,23.150,1,1,y,5.870,-0.173,-0.253,0.539,18,31
2012,2012.45.1.9.7,Sachin Tendulkar,Murali Kartik,24.464,1,1,y,3.662,0.042,0.061,0.438,76,27
2012,2012.45.1.10.1,Sachin Tendulkar,Michael Clarke,24.981,1,1,y,3.337,-0.135,-0.120,0.522,75,59
2012,2012.45.1.10.2,Robin Peterson,Michael Clarke,24.466,0,0,y,5.336,0.552,0.413,0.548,58,25
2012,2012.45.1.10.3,Robin Peterson,Michael Clarke,24.531,2,2,y,5.102,0.504,0.432,0.536,57,23
2012,2012.45.1.10.4,Robin Peterson,Michael Clarke,25.012,1,1,y,6.263,0.615,0.531,0.563,60,38
2012,2012.45.1.10.5,Sachin Tendulkar,Michael Clarke,23.690,1,1,y,7.160,-0.132,0.062,0.657,55,23
2012,2012.45.1.10.6,Robin Peterson,Michael Clarke,23.994,1,1,y,6.493,0.659,0.581,0.459,81,25
2012,2012.45.1.11.1,Robin Peterson,Ashish Nehra,37.540,0,0,y,8.279,0.444,0.227,0.808,58,28
2012,2012.45.1.11.2,Robin Peterson,Ashish Nehra,36.953,0,0,y,10.490,0.308,-0.286,0.792,5,5
2012,2012.45.1.11.3,Sachin Tendulkar,Ashish Nehra,37.258,1,1,y,7.861,0.214,-0.144,0.629,18,42
2012,2012.45.1.11.4,Robin Peterson,Ashish Nehra,36.664,1,1,y,13.028,0.659,0.625,1.589,54,60
2012,2012.45.1.11.5,Sachin Tendulkar,Ashish Nehra,35.277,0,0,y,9.390,0.435,0.070,0.763,36,27
2012,2012.45.1.11.6,Sachin Tendulkar,Ashish Nehra,38.569,0,0,y,8.153,0.118,-0.342,0.703,0,0
2012,2012.45.1.12.1,Robin Peterson,Wayne Parnell,39.250,1,1,y,7.995,0.477,0.541,0.612,76,16
2012,2012.45.1.12.2,Dinesh Karthik,Wayne Parnell,36.331,1,1,y,4.925,-0.222,-0.503,0.566,34,80
2012,2012.45.1.12.3,Robin Peterson,Wayne Parnell,39.270,1,1,y,4.691,0.209,0.130,0.399,44,87
2012,2012.45.1.12.4,Dinesh Karthik,Wayne Parnell,39.579,1,1,y,10.179,0.056,-0.232,0.840,36,11
2012,2012.45.1.12.5,Robin Peterson,Wayne Parnell,34.586,1,1,y,5.589,0.031,-0.136,0.415,58,34
2012,2012.45.1.12.6,Dinesh Karthik,Wayne Parnell,36.219,1,1,y,5.765,-0.366,-0.762,0.391,39,76
2012,2012.45.1.13.1,Dinesh Karthik,Ashish Nehra,38.136,0,0,y,6.035,-0.092,-0.521,0.503,5,5
2012,2012.45.1.13.2,Dinesh Karthik,Ashish Nehra,36.120,1,1,y,10.688,0.249,-0.316,0.971,77,21
2012,2012.45.1.13.3,Robin Peterson,Ashish Nehra,37.468,0,0,y,10.795,0.626,0.480,1.261,0,0
2012,2012.45.1.13.4,Dinesh Karthik,Ashish Nehra,37.442,0,0,y,8.058,0.050,-0.466,0.743,35,28
2012,2012.45.1.13.5,Dinesh Karthik,Ashish Nehra,38.215,1,1,y,8.606,0.121,-0.386,0.809,34,12
2012,2012.45.1.13.6,Ambati Rayudu,Ashish Nehra,37.838,0,0,y,9.186,0.293,-0.140,0.591,50,39
2012,2012.45.1.14.1,Dinesh Karthik,Bhuvneshwar Kumar,34.248,1,1,y,10.821,-0.264,0.131,0.810,72,16
2012,2012.45.1.14.2,Ambati Rayudu,Bhuvneshwar Kumar,33.251,1,1,y,8.129,-0.141,0.170,0.611,26,36
