YEAR,INNINGS_OVER_BALL,BATSMAN,BOWLER,BOWL_SPEED,CREDIT,DEBIT,IS_RHB,PITCHED_X,PITCHED_Y,STUMPS_Y,STUMPS_Z,LANDING_X,LANDING_Y
2015,2015.42.1.0.1,Robin Uthappa,Zaheer Khan,38.221,0,1,y,8.012,0.147,0.330,0.915,5,5
2015,2015.42.1.0.2,Robin Uthappa,Zaheer Khan,38.444,0,0,y,7.329,-0.347,-0.833,0.826,5,5
2015,2015.42.1.0.3,Robin Uthappa,Zaheer Khan,36.348,1,1,y,6.996,0.126,0.104,0.600,74,12
2015,2015.42.1.0.4,Gautam Gambhir,Zaheer Khan,38.131,0,0,n,6.595,0.466,0.724,0.667,5,5
2015,2015.42.1.0.5,Gautam Gambhir,Zaheer Khan,37.997,0,1,n,9.059,0.827,1.506,0.978,5,5
2015,2015.42.1.0.6,Gautam Gambhir,Zaheer Khan,39.138,0,0,n,7.237,0.256,0.566,0.641,61,37
2015,2015.42.1.0.7,Gautam Gambhir,Zaheer Khan,35.044,1,1,n,6.988,0.247,0.316,0.705,67,40
2015,2015.42.1.0.8,Robin Uthappa,Zaheer Khan,38.489,1,1,y,11.441,0.077,-0.414,1.451,18,49
2015,2015.42.1.1.1,Robin Uthappa,Albie Morkel,36.871,0,0,y,6.211,-0.590,-0.825,0.991,37,34
2015,2015.42.1.1.2,Robin Uthappa,Albie Morkel,36.866,0,0,y,8.246,-0.454,-0.652,0.838,36,36
2015,2015.42.1.1.3,Robin Uthappa,Albie Morkel,37.700,1,1,y,6.486,-0.338,-0.452,0.704,43,54
2015,2015.42.1.1.4,Gautam Gambhir,Albie Morkel,38.947,1,1,n,8.077,-0.034,0.397,0.919,71,15
2015,2015.42.1.1.5,Robin Uthappa,Albie Morkel,38.446,0,1,y,4.032,0.099,0.285,0.463,5,5
2015,2015.42.1.1.6,Robin Uthappa,Albie Morkel,37.500,4,4,y,5.983,-0.539,-0.679,0.667,24,10
2015,2015.42.1.1.7,Robin Uthappa,Albie Morkel,37.406,0,0,y,7.065,-0.465,-0.494,0.745,45,58
2015,2015.42.1.2.1,Gautam Gambhir,Zaheer Khan,37.997,1,1,n,8.152,0.443,0.547,0.747,66,41
2015,2015.42.1.2.2,Robin Uthappa,Zaheer Khan,37.684,4,4,y,8.705,0.090,0.126,0.970,95,38
2015,2015.42.1.2.3,Robin Uthappa,Zaheer Khan,38.355,0,0,y,6.100,-0.654,-1.243,0.684,33,36
2015,2015.42.1.2.4,Robin Uthappa,Zaheer Khan,38.221,4,4,y,6.220,-0.626,-1.261,0.694,30,8
2015,2015.42.1.2.5,Robin Uthappa,Zaheer Khan,38.757,0,0,y,6.033,-0.508,-1.023,0.603,5,5
2015,2015.42.1.2.6,Robin Uthappa,Zaheer Khan,38.400,0,0,y,8.130,-0.056,-0.489,0.985,42,37
2015,2015.42.1.3.1,Gautam Gambhir,JP Duminy,24.700,4,4,n,3.409,0.095,0.075,0.598,93,46
2015,2015.42.1.3.2,Gautam Gambhir,JP Duminy,24.318,4,4,n,2.543,0.253,0.019,0.499,88,72
2015,2015.42.1.3.3,Gautam Gambhir,JP Duminy,-1.000,1,1,n,5.746,-0.203,-0.144,0.828,42,25
2015,2015.42.1.3.4,Robin Uthappa,JP Duminy,24.824,0,0,y,5.613,-0.406,0.115,0.819,5,5
2015,2015.42.1.3.5,Robin Uthappa,JP Duminy,24.775,6,6,y,6.500,-0.726,-0.524,1.215,72,94
2015,2015.42.1.3.6,Robin Uthappa,JP Duminy,26.631,1,1,y,4.848,-0.364,-0.223,0.695,66,74
2015,2015.42.1.4.1,Robin Uthappa,Zaheer Khan,34.305,1,1,y,10.075,-0.562,-0.042,0.935,76,39
2015,2015.42.1.4.2,Gautam Gambhir,Zaheer Khan,36.399,0,0,n,9.120,0.437,0.354,0.951,60,37
2015,2015.42.1.4.3,Gautam Gambhir,Zaheer Khan,36.399,0,0,n,4.878,0.452,0.674,0.595,0,0
2015,2015.42.1.4.4,Manish Pandey,Zaheer Khan,37.282,1,1,y,6.225,-0.368,-0.059,0.588,31,38
2015,2015.42.1.4.5,Robin Uthappa,Zaheer Khan,35.621,0,0,y,7.131,-0.505,-0.205,0.674,50,44
2015,2015.42.1.4.6,Robin Uthappa,Zaheer Khan,38.326,0,0,y,7.969,-0.456,-0.086,0.827,58,41
2015,2015.42.1.5.1,Manish Pandey,Albie Morkel,37.128,4,4,y,4.323,-0.199,-0.041,0.539,52,93
2015,2015.42.1.5.2,Manish Pandey,Albie Morkel,-1.000,0,0,y,7.058,-0.275,-0.015,0.672,50,36
2015,2015.42.1.5.3,Manish Pandey,Albie Morkel,38.356,1,1,y,8.006,-0.218,-0.019,0.712,64,43
2015,2015.42.1.5.4,Robin Uthappa,Albie Morkel,37.127,2,2,y,6.879,-0.226,-0.030,0.715,78,50
2015,2015.42.1.5.5,Robin Uthappa,Albie Morkel,37.462,0,0,y,10.066,-0.593,-0.529,1.034,33,28
2015,2015.42.1.5.6,Robin Uthappa,Albie Morkel,37.395,4,4,y,6.840,-0.362,-0.256,0.682,45,91
2015,2015.42.1.6.1,Manish Pandey,Amit Mishra,22.528,0,0,y,4.691,-0.380,-0.421,0.424,37,43
2015,2015.42.1.6.2,Manish Pandey,Amit Mishra,21.668,0,0,y,5.054,-0.410,-0.631,0.610,28,41
2015,2015.42.1.6.3,Manish Pandey,Amit Mishra,23.687,1,1,y,4.398,-0.158,0.090,0.472,62,73
2015,2015.42.1.6.4,Robin Uthappa,Amit Mishra,23.294,0,0,y,4.919,-0.206,-0.214,0.622,35,42
2015,2015.42.1.6.5,Robin Uthappa,Amit Mishra,24.367,0,0,y,5.704,-0.224,0.046,0.669,41,38
2015,2015.42.1.6.6,Robin Uthappa,Amit Mishra,24.024,0,0,y,4.938,-0.222,-0.203,0.496,48,42
2015,2015.42.1.7.1,Manish Pandey,Imran Tahir,26.827,6,6,y,7.727,-0.247,-0.313,0.702,94,67
2015,2015.42.1.7.2,Manish Pandey,Imran Tahir,24.211,0,0,y,5.871,-0.040,0.249,0.810,5,5
2015,2015.42.1.7.3,Manish Pandey,Imran Tahir,23.630,1,1,y,6.030,0.050,0.158,0.745,85,23
2015,2015.42.1.7.4,Robin Uthappa,Imran Tahir,23.764,2,2,y,3.508,-0.288,0.015,1.212,76,14
2015,2015.42.1.7.5,Robin Uthappa,Imran Tahir,23.538,1,1,y,6.176,-0.342,-0.084,0.590,68,69
2015,2015.42.1.7.6,Manish Pandey,Imran Tahir,26.896,1,1,y,4.832,-0.280,-0.338,0.537,77,55
2015,2015.42.1.8.1,Manish Pandey,Amit Mishra,23.937,0,0,y,4.849,-0.517,-0.095,0.803,38,39
2015,2015.42.1.8.2,Manish Pandey,Amit Mishra,23.959,1,1,y,6.180,-0.608,-0.240,0.667,16,45
2015,2015.42.1.8.3,Robin Uthappa,Amit Mishra,23.706,0,0,y,5.274,-0.229,-0.201,0.734,58,35
2015,2015.42.1.8.4,Robin Uthappa,Amit Mishra,25.196,0,0,y,6.670,-0.500,-0.405,0.557,67,38
2015,2015.42.1.8.5,Robin Uthappa,Amit Mishra,20.787,0,0,y,7.119,-0.406,-0.256,0.640,42,39
2015,2015.42.1.8.6,Robin Uthappa,Amit Mishra,21.770,0,0,y,5.838,-0.037,-0.011,0.508,0,0
2015,2015.42.1.9.1,Manish Pandey,Imran Tahir,22.349,1,1,y,5.513,-0.163,-0.358,0.631,39,23
2015,2015.42.1.9.2,Piyush Chawla,Imran Tahir,22.217,0,0,n,5.450,0.050,0.216,0.660,58,27
2015,2015.42.1.9.3,Piyush Chawla,Imran Tahir,23.988,2,2,n,2.571,0.458,0.747,0.743,86,45
2015,2015.42.1.9.4,Piyush Chawla,Imran Tahir,27.203,0,1,n,7.295,-0.292,-0.345,0.691,5,5
2015,2015.42.1.9.5,Piyush Chawla,Imran Tahir,23.148,2,2,n,3.692,0.575,1.017,0.566,83,43
2015,2015.42.1.9.6,Piyush Chawla,Imran Tahir,23.913,1,1,n,3.126,0.100,0.325,0.544,70,71
2015,2015.42.1.9.7,Manish Pandey,Imran Tahir,24.241,2,2,y,3.112,-0.129,-0.031,0.691,84,56
2015,2015.42.1.10.1,Piyush Chawla,Angelo Mathews,31.099,0,0,n,8.446,-0.185,0.265,0.823,66,27
2015,2015.42.1.10.2,Piyush Chawla,Angelo Mathews,36.388,1,1,n,8.417,-0.335,-0.096,0.880,52,27
2015,2015.42.1.10.3,Manish Pandey,Angelo Mathews,33.335,0,0,y,7.082,-0.497,-0.326,0.669,5,5
2015,2015.42.1.10.4,Manish Pandey,Angelo Mathews,36.227,1,1,y,6.151,-0.463,-0.338,0.596,17,41
2015,2015.42.1.10.5,Piyush Chawla,Angelo Mathews,35.047,4,4,n,11.121,-0.378,-0.154,1.477,13,18
2015,2015.42.1.10.6,Piyush Chawla,Angelo Mathews,-1.000,1,1,n,8.878,-0.366,0.019,0.800,64,27
2015,2015.42.1.11.1,Piyush Chawla,Yuvraj Singh,23.726,0,0,n,6.779,-0.019,0.394,0.899,66,28
2015,2015.42.1.11.2,Piyush Chawla,Yuvraj Singh,27.914,1,1,n,6.779,0.046,0.534,0.640,62,23
2015,2015.42.1.11.3,Manish Pandey,Yuvraj Singh,-1.000,2,2,y,8.090,-0.165,0.127,0.663,87,56
2015,2015.42.1.11.4,Manish Pandey,Yuvraj Singh,24.286,0,0,y,4.992,-0.213,-0.110,0.559,0,0
2015,2015.42.1.11.5,Yusuf Pathan,Yuvraj Singh,25.685,1,1,y,7.185,-0.641,-0.617,0.800,17,26
2015,2015.42.1.11.6,Piyush Chawla,Yuvraj Singh,23.858,0,0,n,5.589,0.110,0.464,0.639,68,28
2015,2015.42.1.12.1,Yusuf Pathan,Angelo Mathews,36.925,0,0,y,7.376,-0.365,-0.138,0.795,42,36
2015,2015.42.1.12.2,Yusuf Pathan,Angelo Mathews,34.897,0,0,y,7.010,-0.446,-0.223,0.529,34,39
2015,2015.42.1.12.3,Yusuf Pathan,Angelo Mathews,34.502,0,0,y,6.240,-0.419,-0.290,0.650,5,5
2015,2015.42.1.12.4,Yusuf Pathan,Angelo Mathews,36.158,0,0,y,6.948,-0.200,0.136,0.696,5,5
2015,2015.42.1.12.5,Piyush Chawla,Angelo Mathews,34.421,6,6,n,6.384,0.126,0.543,0.586,38,95
2015,2015.42.1.12.6,Piyush Chawla,Angelo Mathews,37.353,0,0,n,4.984,-0.411,-0.385,0.589,35,35
2015,2015.42.1.13.1,Piyush Chawla,Yuvraj Singh,-1.000,1,1,n,8.328,0.161,0.972,0.619,53,23
2015,2015.42.1.13.2,Yusuf Pathan,Yuvraj Singh,-1.000,6,6,y,5.199,-0.575,-0.682,0.735,28,92
2015,2015.42.1.13.3,Yusuf Pathan,Yuvraj Singh,24.676,0,0,y,5.228,-0.569,-0.681,0.720,59,29
2015,2015.42.1.13.4,Piyush Chawla,Yuvraj Singh,-1.000,1,1,n,6.886,-0.064,0.473,0.672,67,63
2015,2015.42.1.13.5,Yusuf Pathan,Yuvraj Singh,-1.000,1,1,y,9.176,-0.354,0.336,0.772,17,46
2015,2015.42.1.13.6,Piyush Chawla,Yuvraj Singh,-1.000,1,1,n,,,,,34,70
2015,2015.42.1.14.1,Piyush Chawla,Albie Morkel,31.245,0,0,n,5.262,-0.024,0.297,0.683,5,5
2015,2015.42.1.14.2,Piyush Chawla,Albie Morkel,36.433,1,1,n,9.595,-0.444,-0.016,1.030,16,23
2015,2015.42.1.14.3,Yusuf Pathan,Albie Morkel,37.286,4,4,y,7.114,0.006,0.441,0.632,72,9
2015,2015.42.1.14.4,Yusuf Pathan,Albie Morkel,27.097,1,1,y,8.764,-0.325,0.019,0.711,84,46
2015,2015.42.1.14.5,Piyush Chawla,Albie Morkel,37.059,0,0,n,8.146,-0.560,-0.391,0.938,0,0
2015,2015.42.1.14.6,Yusuf Pathan,Albie Morkel,34.600,1,1,y,7.435,-0.540,-0.284,0.773,58,79
2015,2015.42.1.15.1,Yusuf Pathan,Amit Mishra,25.641,2,2,y,3.549,-0.128,-0.121,0.552,75,20
2015,2015.42.1.15.2,Yusuf Pathan,Amit Mishra,21.339,6,6,y,6.936,-0.538,-1.077,0.639,14,86
