YEAR,INNINGS_OVER_BALL,BATSMAN,BOWLER,BOWL_SPEED,CREDIT,DEBIT,IS_RHB,PITCHED_X,PITCHED_Y,STUMPS_Y,STUMPS_Z,LANDING_X,LANDING_Y
2017,2017.43.1.0.1,Hashim Amla,Aniket Choudhary,35.986,1,1,y,10.936,0.074,-0.172,1.080,36,36
2017,2017.43.1.0.2,Martin Guptill,Aniket Choudhary,37.953,0,0,y,9.550,0.221,0.082,1.480,44,30
2017,2017.43.1.0.3,Martin Guptill,Aniket Choudhary,36.209,1,1,y,7.688,0.081,0.096,0.787,70,43
2017,2017.43.1.0.4,Hashim Amla,Aniket Choudhary,36.758,0,0,y,6.185,0.025,-0.378,1.115,41,25
2017,2017.43.1.0.5,Hashim Amla,Aniket Choudhary,36.846,0,0,y,7.897,-0.139,-0.558,1.015,0,0
2017,2017.43.1.0.6,Shaun Marsh,Aniket Choudhary,37.897,0,0,n,8.713,0.320,0.477,0.945,5,5
2017,2017.43.1.1.1,Martin Guptill,Sreenath Arvind,37.819,0,0,y,7.080,0.120,-0.153,0.781,42,42
2017,2017.43.1.1.2,Martin Guptill,Sreenath Arvind,35.738,4,4,y,6.526,-0.073,-0.483,0.622,23,81
2017,2017.43.1.1.3,Martin Guptill,Sreenath Arvind,32.843,0,0,y,9.278,0.010,-0.383,0.884,38,24
2017,2017.43.1.1.4,Martin Guptill,Sreenath Arvind,35.789,1,1,y,8.613,0.301,-0.120,0.960,48,59
2017,2017.43.1.1.5,Shaun Marsh,Sreenath Arvind,35.804,4,4,n,6.715,0.634,0.815,0.670,94,44
2017,2017.43.1.1.6,Shaun Marsh,Sreenath Arvind,37.900,0,0,n,7.341,0.306,0.185,0.766,64,30
2017,2017.43.1.2.1,Martin Guptill,Aniket Choudhary,35.241,0,0,y,7.820,0.079,-0.363,0.757,5,5
2017,2017.43.1.2.2,Martin Guptill,Aniket Choudhary,36.718,2,2,y,7.115,0.112,-0.145,0.878,17,48
2017,2017.43.1.2.3,Martin Guptill,Aniket Choudhary,37.363,1,1,y,8.224,0.281,-0.079,1.176,59,58
