YEAR,INNINGS_OVER_BALL,BATSMAN,BOWLER,BOWL_SPEED,CREDIT,DEBIT,IS_RHB,PITCHED_X,PITCHED_Y,STUMPS_Y,STUMPS_Z,LANDING_X,LANDING_Y
2016,2016.21.1.0.1,Rohit Sharma,Sandeep Sharma,38.802,0,0,y,8.025,-0.410,-0.106,0.822,46,41
2016,2016.21.1.0.2,Rohit Sharma,Sandeep Sharma,36.687,0,0,y,7.440,-0.499,-0.397,0.767,48,23
2016,2016.21.1.0.3,Ambati Rayudu,Sandeep Sharma,36.169,1,1,y,8.187,-0.633,-0.603,0.746,35,11
2016,2016.21.1.0.4,Parthiv Patel,Sandeep Sharma,35.623,0,0,n,8.045,-0.054,0.516,0.831,67,37
2016,2016.21.1.0.5,Parthiv Patel,Sandeep Sharma,35.072,0,0,n,7.243,0.153,0.663,0.618,68,28
2016,2016.21.1.0.6,Parthiv Patel,Sandeep Sharma,35.226,1,1,n,7.936,-0.073,0.041,0.793,41,28
2016,2016.21.1.1.1,Parthiv Patel,Mitchell Johnson,39.607,0,0,n,5.615,0.226,0.036,0.480,62,34
2016,2016.21.1.1.2,Parthiv Patel,Mitchell Johnson,39.294,4,4,n,6.099,0.221,0.454,0.510,82,77
2016,2016.21.1.1.3,Parthiv Patel,Mitchell Johnson,39.339,4,4,n,6.036,0.198,0.003,0.692,42,7
2016,2016.21.1.1.4,Parthiv Patel,Mitchell Johnson,38.042,1,1,n,9.412,0.315,0.221,0.971,63,35
2016,2016.21.1.1.5,Ambati Rayudu,Mitchell Johnson,39.875,0,0,y,10.685,0.186,0.077,1.225,58,35
2016,2016.21.1.1.6,Ambati Rayudu,Mitchell Johnson,39.368,0,0,y,5.087,-0.200,-0.537,0.407,5,5
2016,2016.21.1.2.1,Parthiv Patel,Sandeep Sharma,37.371,0,0,n,8.060,0.016,0.340,0.742,57,57
2016,2016.21.1.2.2,Parthiv Patel,Sandeep Sharma,36.591,0,0,n,7.318,-0.004,0.221,0.720,44,57
2016,2016.21.1.2.3,Parthiv Patel,Sandeep Sharma,38.087,0,0,n,6.974,0.271,0.608,0.639,70,34
2016,2016.21.1.2.4,Parthiv Patel,Sandeep Sharma,37.074,2,2,n,8.445,-0.025,0.202,0.767,83,50
2016,2016.21.1.2.5,Parthiv Patel,Sandeep Sharma,37.217,0,0,n,12.383,-0.150,0.162,1.234,5,5
2016,2016.21.1.2.6,Parthiv Patel,Sandeep Sharma,35.919,0,0,n,7.595,-0.040,0.171,0.786,39,41
2016,2016.21.1.3.1,Ambati Rayudu,Axar Patel,25.763,1,1,y,5.925,-0.402,-0.193,0.657,32,79
2016,2016.21.1.3.2,Parthiv Patel,Axar Patel,27.325,1,1,n,4.356,-0.165,0.056,0.629,28,76
2016,2016.21.1.3.3,Ambati Rayudu,Axar Patel,25.812,1,1,y,4.946,-0.412,-0.269,0.556,68,42
2016,2016.21.1.3.4,Parthiv Patel,Axar Patel,28.118,0,0,n,7.372,-0.337,-0.030,0.687,25,39
2016,2016.21.1.3.5,Parthiv Patel,Axar Patel,28.858,1,1,n,3.850,0.121,0.413,0.466,57,60
2016,2016.21.1.3.6,Ambati Rayudu,Axar Patel,28.097,1,1,y,3.803,0.007,0.234,0.469,70,28
2016,2016.21.1.4.1,Ambati Rayudu,Sandeep Sharma,38.266,1,1,y,8.281,-0.257,-0.143,0.739,40,9
2016,2016.21.1.4.2,Parthiv Patel,Sandeep Sharma,37.950,0,0,n,9.018,-0.065,0.216,0.889,38,42
2016,2016.21.1.4.3,Parthiv Patel,Sandeep Sharma,35.381,0,0,n,12.833,-0.056,0.430,1.486,5,5
2016,2016.21.1.4.4,Parthiv Patel,Sandeep Sharma,36.220,1,1,n,9.907,-0.107,0.222,1.013,14,40
2016,2016.21.1.4.5,Ambati Rayudu,Sandeep Sharma,36.316,4,4,y,12.249,-0.286,-0.289,1.415,55,94
2016,2016.21.1.4.6,Ambati Rayudu,Sandeep Sharma,38.042,1,1,y,8.320,-0.293,-0.192,0.841,38,32
2016,2016.21.1.5.1,Ambati Rayudu,Mitchell Johnson,-1.000,4,4,y,,,,,58,94
2016,2016.21.1.5.2,Ambati Rayudu,Mitchell Johnson,34.998,1,1,y,5.550,-0.222,-0.486,0.461,32,32
2016,2016.21.1.5.3,Parthiv Patel,Mitchell Johnson,38.757,0,1,n,10.362,0.209,0.079,1.094,11,27
2016,2016.21.1.5.4,Parthiv Patel,Mitchell Johnson,35.066,0,0,n,9.526,0.296,0.185,1.026,34,39
2016,2016.21.1.5.5,Parthiv Patel,Mitchell Johnson,34.868,4,4,n,9.849,0.129,-0.052,0.984,27,9
2016,2016.21.1.5.6,Parthiv Patel,Mitchell Johnson,32.212,4,4,n,7.242,0.102,-0.134,0.695,20,13
