YEAR,INNINGS_OVER_BALL,BATSMAN,BOWLER,BOWL_SPEED,CREDIT,DEBIT,IS_RHB,PITCHED_X,PITCHED_Y,STUMPS_Y,STUMPS_Z,LANDING_X,LANDING_Y
2016,2016.54.1.0.1,Rohit Sharma,Praveen Kumar,-1.000,0,0,y,7.951,-0.554,-0.327,0.819,37,29
2016,2016.54.1.0.2,Rohit Sharma,Praveen Kumar,35.399,4,4,y,8.293,-0.434,-0.679,0.996,7,43
2016,2016.54.1.0.3,Rohit Sharma,Praveen Kumar,34.555,0,0,y,7.429,-0.285,-0.243,0.792,5,5
2016,2016.54.1.0.4,Rohit Sharma,Praveen Kumar,33.907,0,0,y,7.169,-0.315,-0.312,0.639,36,28
2016,2016.54.1.0.5,Rohit Sharma,Praveen Kumar,34.193,0,0,y,6.008,-0.536,-0.484,0.575,36,44
2016,2016.54.1.0.6,Rohit Sharma,Praveen Kumar,36.083,4,4,y,9.622,-0.297,0.006,1.088,94,43
2016,2016.54.1.1.1,Martin Guptill,Dhawal Kulkarni,36.326,0,0,y,9.232,-0.268,-0.085,1.091,42,25
2016,2016.54.1.1.2,Martin Guptill,Dhawal Kulkarni,37.705,0,0,y,7.340,-0.391,-0.458,0.887,35,35
2016,2016.54.1.1.3,Martin Guptill,Dhawal Kulkarni,36.030,1,1,y,6.797,-0.259,-0.275,0.815,32,47
2016,2016.54.1.1.4,Rohit Sharma,Dhawal Kulkarni,36.886,4,4,y,8.578,-0.576,-0.844,0.854,8,28
2016,2016.54.1.1.5,Rohit Sharma,Dhawal Kulkarni,-1.000,0,0,y,6.201,-0.209,0.002,0.549,43,35
2016,2016.54.1.1.6,Rohit Sharma,Dhawal Kulkarni,37.364,6,6,y,7.871,-0.358,-0.425,0.843,18,80
2016,2016.54.1.2.1,Martin Guptill,Praveen Kumar,31.327,1,1,y,8.529,-0.349,-0.243,0.975,66,42
2016,2016.54.1.2.2,Rohit Sharma,Praveen Kumar,36.796,0,0,y,6.753,-0.322,-0.303,0.639,40,38
2016,2016.54.1.2.3,Rohit Sharma,Praveen Kumar,31.146,0,0,y,8.327,-0.369,-0.237,0.965,42,24
2016,2016.54.1.2.4,Rohit Sharma,Praveen Kumar,31.301,4,4,y,10.412,-0.443,-0.575,1.004,87,68
2016,2016.54.1.2.5,Rohit Sharma,Praveen Kumar,-1.000,1,1,y,9.602,-0.367,-0.258,1.118,68,55
