YEAR,INNINGS_OVER_BALL,BATSMAN,BOWLER,BOWL_SPEED,CREDIT,DEBIT,IS_RHB,PITCHED_X,PITCHED_Y,STUMPS_Y,STUMPS_Z,LANDING_X,LANDING_Y
2017,2017.41.1.0.1,Sunil Narine,Jaydev Unadkat,-1.000,0,0,n,,,,,5,5
2017,2017.41.1.0.2,Sunil Narine,Jaydev Unadkat,37.105,0,0,n,8.890,0.444,0.347,1.055,5,5
2017,2017.41.1.0.3,Sunil Narine,Jaydev Unadkat,36.736,0,0,n,7.910,0.532,0.210,0.580,5,5
2017,2017.41.1.0.4,Sunil Narine,Jaydev Unadkat,32.521,0,0,n,7.952,0.527,0.214,0.713,5,5
2017,2017.41.1.0.5,Sunil Narine,Jaydev Unadkat,36.661,0,0,n,10.094,0.506,0.436,1.260,5,5
2017,2017.41.1.0.6,Sunil Narine,Jaydev Unadkat,32.426,0,0,n,9.335,0.730,0.379,0.948,0,0
2017,2017.41.1.1.1,Gautam Gambhir,Ben Stokes,36.940,0,0,n,7.508,-0.388,-0.313,0.858,43,6
2017,2017.41.1.1.2,Gautam Gambhir,Ben Stokes,36.489,2,2,n,7.173,-0.276,0.096,0.711,20,41
2017,2017.41.1.1.3,Gautam Gambhir,Ben Stokes,39.454,0,0,n,3.452,0.307,0.540,0.403,66,40
2017,2017.41.1.1.4,Gautam Gambhir,Ben Stokes,37.358,1,1,n,8.058,-0.036,0.515,0.751,63,59
2017,2017.41.1.1.5,Sheldon Jackson,Ben Stokes,39.939,0,0,y,5.992,-0.448,-0.292,0.696,5,5
2017,2017.41.1.1.6,Sheldon Jackson,Ben Stokes,36.254,1,1,y,9.314,-0.441,0.091,1.138,82,22
2017,2017.41.1.2.1,Sheldon Jackson,Jaydev Unadkat,36.111,0,0,y,9.021,0.236,-0.000,1.074,45,36
2017,2017.41.1.2.2,Sheldon Jackson,Jaydev Unadkat,37.014,4,4,y,9.063,0.273,-0.164,1.177,11,22
2017,2017.41.1.2.3,Sheldon Jackson,Jaydev Unadkat,37.382,0,0,y,7.616,0.397,0.460,0.954,5,5
2017,2017.41.1.2.4,Sheldon Jackson,Jaydev Unadkat,37.992,0,0,y,9.086,0.397,0.149,0.987,5,5
2017,2017.41.1.2.5,Sheldon Jackson,Jaydev Unadkat,33.673,1,1,y,7.598,0.416,0.102,0.911,62,23
2017,2017.41.1.2.6,Gautam Gambhir,Jaydev Unadkat,36.190,1,1,n,10.359,0.747,0.896,1.214,60,55
2017,2017.41.1.3.1,Gautam Gambhir,Washington Sundar,26.072,0,0,n,4.893,0.432,0.332,0.539,56,43
2017,2017.41.1.3.2,Gautam Gambhir,Washington Sundar,26.512,0,0,n,4.919,0.177,-0.030,0.705,58,40
2017,2017.41.1.3.3,Gautam Gambhir,Washington Sundar,-1.000,0,0,n,,,,,5,5
2017,2017.41.1.3.4,Gautam Gambhir,Washington Sundar,26.744,0,0,n,4.990,0.002,-0.329,0.633,64,36
2017,2017.41.1.3.5,Sheldon Jackson,Washington Sundar,24.324,4,4,y,5.119,0.016,-0.127,0.745,58,93
2017,2017.41.1.3.6,Sheldon Jackson,Washington Sundar,26.360,0,0,y,5.361,0.264,0.035,0.624,0,0
2017,2017.41.1.4.1,Gautam Gambhir,Ben Stokes,39.047,0,0,n,7.348,0.045,0.576,0.543,5,5
2017,2017.41.1.4.2,Gautam Gambhir,Ben Stokes,38.709,0,0,n,8.867,-0.341,0.015,0.928,5,5
2017,2017.41.1.4.3,Gautam Gambhir,Ben Stokes,35.305,0,0,n,8.808,-0.216,0.368,0.864,62,54
