YEAR,INNINGS_OVER_BALL,BATSMAN,BOWLER,BOWL_SPEED,CREDIT,DEBIT,IS_RHB,PITCHED_X,PITCHED_Y,STUMPS_Y,STUMPS_Z,LANDING_X,LANDING_Y
2016,2016.56.1.0.1,Quinton de Kock,Stuart Binny,38.464,1,1,n,9.072,-0.260,0.049,1.159,38,37
2016,2016.56.1.0.2,Rishabh Pant,Stuart Binny,35.675,1,1,n,7.159,-0.131,-0.055,0.901,34,46
2016,2016.56.1.0.3,Quinton de Kock,Stuart Binny,35.226,4,4,n,5.726,-0.415,-0.322,0.888,39,7
2016,2016.56.1.0.4,Quinton de Kock,Stuart Binny,36.477,2,2,n,8.198,-0.117,-0.043,0.908,18,37
2016,2016.56.1.0.5,Quinton de Kock,Stuart Binny,35.960,0,0,n,9.031,-0.124,0.157,1.204,42,40
2016,2016.56.1.0.6,Quinton de Kock,Stuart Binny,36.228,0,1,n,7.889,-0.357,-0.459,0.982,5,5
2016,2016.56.1.0.7,Quinton de Kock,Stuart Binny,35.628,1,1,n,9.020,-0.280,-0.200,1.100,30,23
2016,2016.56.1.1.1,Quinton de Kock,Sreenath Arvind,36.509,1,1,n,9.347,0.675,0.705,1.100,76,27
2016,2016.56.1.1.2,Rishabh Pant,Sreenath Arvind,35.376,0,0,n,7.878,0.386,0.176,1.136,0,0
2016,2016.56.1.1.3,Karun Nair,Sreenath Arvind,35.686,1,1,y,8.178,0.250,-0.052,1.056,66,41
2016,2016.56.1.1.4,Quinton de Kock,Sreenath Arvind,35.863,0,0,n,6.491,0.557,0.543,0.763,5,5
2016,2016.56.1.1.5,Quinton de Kock,Sreenath Arvind,37.550,0,0,n,8.690,0.437,0.170,1.082,5,5
2016,2016.56.1.1.6,Quinton de Kock,Sreenath Arvind,36.210,1,1,n,9.025,0.727,1.054,1.064,66,42
2016,2016.56.1.2.1,Quinton de Kock,Chris Jordan,36.979,1,2,n,6.372,-0.364,-0.282,0.753,36,11
2016,2016.56.1.2.2,Karun Nair,Chris Jordan,37.319,1,1,y,3.665,-0.580,-0.575,0.508,13,30
2016,2016.56.1.2.3,Quinton de Kock,Chris Jordan,38.544,0,0,n,6.539,0.055,0.389,0.726,56,59
2016,2016.56.1.2.4,Quinton de Kock,Chris Jordan,39.001,0,0,n,4.828,-0.123,0.047,0.498,48,41
2016,2016.56.1.2.5,Quinton de Kock,Chris Jordan,33.974,0,0,n,9.505,0.001,0.862,1.412,66,46
2016,2016.56.1.2.6,Quinton de Kock,Chris Jordan,39.563,4,4,n,4.179,-0.094,0.065,0.500,55,93
2016,2016.56.1.2.7,Quinton de Kock,Chris Jordan,28.640,1,1,n,6.924,0.517,1.224,0.908,71,49
2016,2016.56.1.3.1,Quinton de Kock,Sreenath Arvind,36.354,6,6,n,5.252,0.094,-0.077,0.585,58,94
2016,2016.56.1.3.2,Quinton de Kock,Sreenath Arvind,-1.000,0,0,n,,,,,5,5
2016,2016.56.1.3.3,Quinton de Kock,Sreenath Arvind,-1.000,0,0,n,,,,,66,26
2016,2016.56.1.3.4,Quinton de Kock,Sreenath Arvind,35.181,4,4,n,8.557,0.499,0.497,1.181,45,6
2016,2016.56.1.3.5,Quinton de Kock,Sreenath Arvind,37.506,1,1,n,8.170,0.342,0.058,0.971,88,30
2016,2016.56.1.3.6,Karun Nair,Sreenath Arvind,36.036,1,1,y,8.397,0.462,0.382,0.905,38,23
2016,2016.56.1.4.1,Karun Nair,Shane Watson,35.567,0,0,y,6.450,-0.405,-0.316,0.996,5,5
2016,2016.56.1.4.2,Karun Nair,Shane Watson,35.868,2,2,y,8.651,-0.364,-0.456,1.151,46,10
2016,2016.56.1.4.3,Karun Nair,Shane Watson,36.024,0,0,y,7.255,-0.163,-0.067,0.642,57,42
2016,2016.56.1.4.4,Karun Nair,Shane Watson,39.086,0,0,y,9.513,-0.303,-0.325,0.729,5,5
2016,2016.56.1.4.5,Karun Nair,Shane Watson,37.371,6,6,y,11.567,-0.518,-0.721,1.686,37,6
2016,2016.56.1.4.6,Karun Nair,Shane Watson,35.279,0,0,y,6.630,-0.361,-0.296,0.653,38,38
2016,2016.56.1.5.1,Quinton de Kock,Yuzvendra Chahal,24.176,0,0,n,5.135,0.044,0.028,0.679,39,37
2016,2016.56.1.5.2,Quinton de Kock,Yuzvendra Chahal,24.979,1,1,n,6.453,0.020,-0.073,0.657,62,60
2016,2016.56.1.5.3,Karun Nair,Yuzvendra Chahal,23.263,0,0,y,4.997,-0.074,-0.150,0.754,0,0
2016,2016.56.1.5.4,Quinton de Kock,Yuzvendra Chahal,24.924,0,0,n,4.359,0.266,0.346,0.591,39,42
2016,2016.56.1.5.5,Quinton de Kock,Yuzvendra Chahal,23.139,0,0,n,6.021,0.081,0.030,0.646,63,83
2016,2016.56.1.5.6,Quinton de Kock,Yuzvendra Chahal,25.212,1,1,n,4.982,0.072,-0.008,0.728,35,41
2016,2016.56.1.6.1,Quinton de Kock,Stuart Binny,33.742,1,1,n,10.550,-0.248,0.317,1.467,12,31
2016,2016.56.1.6.2,Sanju Samson,Stuart Binny,34.928,1,1,y,9.724,-0.348,0.321,1.338,82,23
2016,2016.56.1.6.3,Quinton de Kock,Stuart Binny,35.831,1,1,n,8.569,0.069,0.709,0.788,88,45
2016,2016.56.1.6.4,Sanju Samson,Stuart Binny,33.168,1,1,y,10.261,-0.375,0.011,1.270,37,12
2016,2016.56.1.6.5,Quinton de Kock,Stuart Binny,35.683,1,1,n,10.830,-0.322,-0.046,1.653,40,10
2016,2016.56.1.6.6,Sanju Samson,Stuart Binny,35.609,0,0,y,6.909,-0.380,-0.402,0.670,5,5
2016,2016.56.1.7.1,Quinton de Kock,Yuzvendra Chahal,22.946,1,1,n,5.781,-0.273,0.049,0.648,14,49
2016,2016.56.1.7.2,Sanju Samson,Yuzvendra Chahal,23.387,6,6,y,5.382,-0.178,-0.360,0.832,63,93
2016,2016.56.1.7.3,Sanju Samson,Yuzvendra Chahal,24.348,1,1,y,3.793,0.194,0.125,0.536,63,80
2016,2016.56.1.7.4,Quinton de Kock,Yuzvendra Chahal,23.040,1,1,n,6.298,0.092,0.081,1.041,18,58
2016,2016.56.1.7.5,Sanju Samson,Yuzvendra Chahal,24.122,1,1,y,6.121,-0.202,-0.022,0.501,61,80
2016,2016.56.1.7.6,Quinton de Kock,Yuzvendra Chahal,24.330,4,4,n,7.267,-0.264,-0.095,1.044,7,39
2016,2016.56.1.8.1,Sanju Samson,Shane Watson,34.554,1,1,y,6.534,-0.456,-0.395,0.812,39,10
2016,2016.56.1.8.2,Quinton de Kock,Shane Watson,35.091,1,1,n,7.808,-0.267,-0.014,0.660,36,43
2016,2016.56.1.8.3,Sanju Samson,Shane Watson,35.192,1,1,y,7.870,-0.188,0.132,0.900,40,25
2016,2016.56.1.8.4,Quinton de Kock,Shane Watson,34.351,0,0,n,12.905,-0.321,0.481,1.712,5,5
2016,2016.56.1.8.5,Quinton de Kock,Shane Watson,36.594,1,1,n,2.780,0.112,0.094,0.356,60,85
2016,2016.56.1.8.6,Sanju Samson,Shane Watson,37.014,1,1,y,1.294,0.030,0.257,0.179,60,82
2016,2016.56.1.9.1,Sanju Samson,Yuzvendra Chahal,25.273,0,0,y,5.245,0.152,0.401,0.600,5,5
2016,2016.56.1.9.2,Sanju Samson,Yuzvendra Chahal,23.045,4,4,y,4.190,-0.580,-0.855,0.757,84,73
2016,2016.56.1.9.3,Sanju Samson,Yuzvendra Chahal,23.873,0,0,y,6.359,-0.559,-0.854,1.131,0,0
2016,2016.56.1.9.4,Sam Billings,Yuzvendra Chahal,25.019,2,2,y,5.216,-0.370,-0.374,0.592,68,10
2016,2016.56.1.9.5,Sam Billings,Yuzvendra Chahal,22.922,1,1,y,5.318,-0.046,-0.237,0.512,77,47
2016,2016.56.1.9.6,Quinton de Kock,Yuzvendra Chahal,25.878,1,1,n,4.165,0.383,0.542,0.539,61,84
2016,2016.56.1.10.1,Quinton de Kock,Iqbal Abdulla,24.623,1,1,n,6.631,0.001,0.075,0.770,42,22
2016,2016.56.1.10.2,Sam Billings,Iqbal Abdulla,22.741,0,0,y,4.723,0.096,0.219,0.572,56,41
2016,2016.56.1.10.3,Sam Billings,Iqbal Abdulla,25.013,1,1,y,4.693,-0.189,-0.218,0.730,74,14
2016,2016.56.1.10.4,Quinton de Kock,Iqbal Abdulla,25.942,2,2,n,5.155,0.476,0.755,0.797,90,29
2016,2016.56.1.10.5,Quinton de Kock,Iqbal Abdulla,27.605,1,1,n,7.411,-0.256,-0.285,0.553,16,35
