YEAR,INNINGS_OVER_BALL,BATSMAN,BOWLER,BOWL_SPEED,CREDIT,DEBIT,IS_RHB,PITCHED_X,PITCHED_Y,STUMPS_Y,STUMPS_Z,LANDING_X,LANDING_Y
2016,2016.28.1.0.1,Murali Vijay,Praveen Kumar,-1.000,0,0,y,,,,,5,5
2016,2016.28.1.0.2,Murali Vijay,Praveen Kumar,35.766,0,0,y,6.643,-0.370,-0.267,0.647,64,41
2016,2016.28.1.0.3,Murali Vijay,Praveen Kumar,35.328,4,4,y,9.130,-0.644,-0.502,0.800,8,46
2016,2016.28.1.0.4,Murali Vijay,Praveen Kumar,35.071,2,2,y,7.045,-0.506,-0.767,0.652,20,24
2016,2016.28.1.0.5,Murali Vijay,Praveen Kumar,35.036,3,3,y,7.588,-0.348,-0.533,0.745,15,48
2016,2016.28.1.0.6,Marcus Stoinis,Praveen Kumar,36.120,0,0,y,7.841,-0.123,0.013,0.782,60,37
2016,2016.28.1.1.1,Murali Vijay,Dhawal Kulkarni,36.075,1,1,y,7.702,-0.036,0.007,0.541,34,12
2016,2016.28.1.1.2,Marcus Stoinis,Dhawal Kulkarni,36.907,0,0,y,7.866,-0.271,-0.365,0.881,5,5
2016,2016.28.1.1.3,Marcus Stoinis,Dhawal Kulkarni,36.977,1,1,y,9.109,-0.286,-0.157,0.802,36,31
2016,2016.28.1.1.4,Murali Vijay,Dhawal Kulkarni,34.857,0,0,y,8.609,-0.314,-0.194,0.840,40,31
2016,2016.28.1.1.5,Murali Vijay,Dhawal Kulkarni,35.696,0,0,y,12.504,-0.376,-0.246,1.530,5,5
2016,2016.28.1.1.6,Murali Vijay,Dhawal Kulkarni,37.550,2,2,y,7.761,-0.114,0.167,0.797,79,16
2016,2016.28.1.2.1,Marcus Stoinis,Praveen Kumar,36.612,1,1,y,8.604,-0.128,0.012,0.809,74,29
2016,2016.28.1.2.2,Murali Vijay,Praveen Kumar,36.075,0,0,y,12.587,-0.447,-0.196,2.077,5,5
2016,2016.28.1.2.3,Murali Vijay,Praveen Kumar,36.277,4,4,y,7.722,-0.022,0.197,0.760,40,93
2016,2016.28.1.2.4,Murali Vijay,Praveen Kumar,31.603,0,0,y,7.868,-0.581,-0.698,0.646,46,39
2016,2016.28.1.2.5,Murali Vijay,Praveen Kumar,35.922,4,4,y,8.638,-0.376,-0.515,0.982,48,96
2016,2016.28.1.2.6,Murali Vijay,Praveen Kumar,35.647,4,4,y,1.099,0.109,0.143,0.173,94,29
2016,2016.28.1.3.1,Marcus Stoinis,Dhawal Kulkarni,37.127,0,0,y,7.748,-0.272,-0.238,0.723,34,29
2016,2016.28.1.3.2,Marcus Stoinis,Dhawal Kulkarni,36.522,1,1,y,6.072,-0.066,0.079,0.504,88,45
