YEAR,INNINGS_OVER_BALL,BATSMAN,BOWLER,BOWL_SPEED,CREDIT,DEBIT,IS_RHB,PITCHED_X,PITCHED_Y,STUMPS_Y,STUMPS_Z,LANDING_X,LANDING_Y
2013,2013.16.1.0.1,Chris Gayle,Dirk Nannes,-1.000,0,0,n,,,,,5,5
2013,2013.16.1.0.2,Chris Gayle,Dirk Nannes,-1.000,0,0,n,9.892,0.256,-0.134,0.868,37,37
2013,2013.16.1.0.3,Chris Gayle,Dirk Nannes,39.475,0,0,n,10.660,0.347,-0.054,1.466,37,36
2013,2013.16.1.0.4,Chris Gayle,Dirk Nannes,38.017,0,0,n,4.357,0.473,0.523,0.519,5,5
2013,2013.16.1.0.5,Chris Gayle,Dirk Nannes,37.035,0,0,n,13.061,0.524,0.116,2.112,5,5
2013,2013.16.1.0.6,Chris Gayle,Dirk Nannes,38.284,0,1,n,3.755,-0.281,-0.521,0.511,5,5
2013,2013.16.1.0.7,Chris Gayle,Dirk Nannes,38.151,4,4,n,-0.007,0.341,0.341,0.036,44,89
2013,2013.16.1.1.1,Mayank Agarwal,Chris Morris,-1.000,1,1,y,,,,,39,56
2013,2013.16.1.1.2,Chris Gayle,Chris Morris,35.964,0,0,n,2.455,0.305,0.466,0.289,5,5
2013,2013.16.1.1.3,Chris Gayle,Chris Morris,-1.000,0,0,n,,,,,49,25
2013,2013.16.1.1.4,Chris Gayle,Chris Morris,36.232,0,0,n,7.440,-0.390,-0.093,0.905,50,40
2013,2013.16.1.1.5,Chris Gayle,Chris Morris,35.429,0,0,n,4.643,0.488,1.077,0.576,0,0
2013,2013.16.1.1.6,Virat Kohli,Chris Morris,34.849,0,0,y,2.881,-0.445,-0.355,0.407,33,29
2013,2013.16.1.2.1,Mayank Agarwal,Dirk Nannes,-1.000,0,0,y,8.839,0.257,-0.296,0.924,44,22
2013,2013.16.1.2.2,Mayank Agarwal,Dirk Nannes,37.124,0,0,y,7.075,-0.307,-1.008,0.690,5,5
2013,2013.16.1.2.3,Mayank Agarwal,Dirk Nannes,39.043,0,0,y,8.116,0.121,-0.368,1.012,35,26
2013,2013.16.1.2.4,Mayank Agarwal,Dirk Nannes,38.151,0,0,y,7.711,0.275,-0.175,0.740,32,27
2013,2013.16.1.2.5,Mayank Agarwal,Dirk Nannes,37.258,4,4,y,10.198,0.140,-0.620,0.958,8,29
2013,2013.16.1.2.6,Mayank Agarwal,Dirk Nannes,39.355,1,1,y,8.060,0.150,-0.325,0.880,19,22
2013,2013.16.1.3.1,Mayank Agarwal,Mohit Sharma,35.473,0,0,y,9.389,-0.121,0.148,0.658,60,56
2013,2013.16.1.3.2,Mayank Agarwal,Mohit Sharma,-1.000,0,0,y,,,,,40,43
2013,2013.16.1.3.3,Mayank Agarwal,Mohit Sharma,-1.000,1,1,y,9.257,-0.115,0.173,0.876,67,40
2013,2013.16.1.3.4,Virat Kohli,Mohit Sharma,35.473,0,0,y,6.942,-0.174,-0.036,0.786,54,63
2013,2013.16.1.3.5,Virat Kohli,Mohit Sharma,36.544,1,1,y,9.825,-0.329,-0.144,0.913,22,22
2013,2013.16.1.3.6,Mayank Agarwal,Mohit Sharma,-1.000,4,4,y,,,,,37,7
2013,2013.16.1.4.1,Virat Kohli,Chris Morris,-1.000,1,1,y,,,,,78,30
2013,2013.16.1.4.2,Mayank Agarwal,Chris Morris,-1.000,1,1,y,,,,,23,16
2013,2013.16.1.4.3,Virat Kohli,Chris Morris,-1.000,4,4,y,,,,,8,42
2013,2013.16.1.4.4,Virat Kohli,Chris Morris,-1.000,3,3,y,9.502,-0.330,0.245,0.978,88,25
2013,2013.16.1.4.5,Mayank Agarwal,Chris Morris,35.429,0,0,y,6.761,-0.326,0.039,0.776,59,41
2013,2013.16.1.4.6,Mayank Agarwal,Chris Morris,34.893,0,0,y,10.750,-0.703,-0.399,1.389,37,42
2013,2013.16.1.5.1,Virat Kohli,Mohit Sharma,-1.000,0,0,y,,,,,55,62
2013,2013.16.1.5.2,Virat Kohli,Mohit Sharma,-1.000,1,1,y,,,,,31,14
2013,2013.16.1.5.3,Mayank Agarwal,Mohit Sharma,-1.000,1,1,y,,,,,86,45
2013,2013.16.1.5.4,Virat Kohli,Mohit Sharma,36.277,0,0,y,7.731,-0.270,-0.133,0.759,34,36
2013,2013.16.1.5.5,Virat Kohli,Mohit Sharma,35.027,4,4,y,10.174,-0.432,-0.358,1.034,86,70
2013,2013.16.1.5.6,Virat Kohli,Mohit Sharma,36.098,1,1,y,6.091,-0.322,-0.257,0.583,37,54
2013,2013.16.1.6.1,Virat Kohli,Ravichandran Ashwin,22.846,0,0,y,3.566,0.005,0.210,0.486,64,49
2013,2013.16.1.6.2,Virat Kohli,Ravichandran Ashwin,22.712,0,0,y,4.634,-0.241,0.094,0.568,62,48
2013,2013.16.1.6.3,Virat Kohli,Ravichandran Ashwin,24.363,0,0,y,5.298,-0.320,-0.088,0.564,57,40
2013,2013.16.1.6.4,Virat Kohli,Ravichandran Ashwin,24.809,0,0,y,4.854,-0.072,0.256,0.703,68,30
2013,2013.16.1.6.5,Virat Kohli,Ravichandran Ashwin,22.489,1,1,y,4.653,-0.129,0.188,0.624,86,48
2013,2013.16.1.6.6,Mayank Agarwal,Ravichandran Ashwin,24.184,1,1,y,4.532,-0.267,-0.286,0.563,16,30
2013,2013.16.1.7.1,Mayank Agarwal,Ravindra Jadeja,24.675,1,1,y,4.850,-0.023,0.140,0.671,80,30
2013,2013.16.1.7.2,Virat Kohli,Ravindra Jadeja,25.345,1,1,y,6.539,-0.130,-0.127,0.777,39,21
2013,2013.16.1.7.3,Mayank Agarwal,Ravindra Jadeja,24.274,6,6,y,6.532,-0.130,-0.126,0.770,64,95
2013,2013.16.1.7.4,Mayank Agarwal,Ravindra Jadeja,-1.000,1,1,y,7.706,-0.109,0.187,0.689,83,53
2013,2013.16.1.7.5,Virat Kohli,Ravindra Jadeja,-1.000,0,0,y,,,,,35,40
2013,2013.16.1.7.6,Virat Kohli,Ravindra Jadeja,-1.000,2,2,y,,,,,15,24
2013,2013.16.1.8.1,Mayank Agarwal,Ravichandran Ashwin,23.694,1,1,y,5.255,-0.272,0.007,0.652,30,28
2013,2013.16.1.8.2,Virat Kohli,Ravichandran Ashwin,24.541,1,1,y,5.914,-0.030,0.301,0.711,68,28
2013,2013.16.1.8.3,Mayank Agarwal,Ravichandran Ashwin,22.712,1,1,y,1.979,0.064,0.115,0.397,56,76
2013,2013.16.1.8.4,Virat Kohli,Ravichandran Ashwin,23.470,1,1,y,6.066,-0.235,-0.121,0.653,29,76
2013,2013.16.1.8.5,Mayank Agarwal,Ravichandran Ashwin,24.051,0,1,y,3.172,0.289,0.485,0.465,0,0
2013,2013.16.1.8.6,AB de Villiers,Ravichandran Ashwin,24.898,0,0,y,3.144,0.290,0.428,0.495,39,44
2013,2013.16.1.8.7,AB de Villiers,Ravichandran Ashwin,23.470,4,4,y,1.325,-0.478,-0.477,0.414,12,61
2013,2013.16.1.9.1,Virat Kohli,Ravindra Jadeja,25.255,1,1,y,6.282,-0.068,0.042,0.663,61,83
2013,2013.16.1.9.2,AB de Villiers,Ravindra Jadeja,24.541,1,1,y,4.871,-0.007,0.074,0.692,13,48
2013,2013.16.1.9.3,Virat Kohli,Ravindra Jadeja,25.032,1,1,y,2.480,-0.117,-0.017,0.446,16,40
2013,2013.16.1.9.4,AB de Villiers,Ravindra Jadeja,24.274,1,1,y,2.817,-0.085,0.080,0.484,18,51
2013,2013.16.1.9.5,Virat Kohli,Ravindra Jadeja,-1.000,1,1,y,,,,,76,31
2013,2013.16.1.9.6,AB de Villiers,Ravindra Jadeja,24.720,4,4,y,7.598,-0.063,0.181,0.844,90,61
2013,2013.16.1.10.1,Virat Kohli,Ravichandran Ashwin,23.560,1,1,y,5.402,-0.221,0.102,0.686,85,46
2013,2013.16.1.10.2,AB de Villiers,Ravichandran Ashwin,23.738,1,1,y,6.122,-0.102,0.301,0.735,70,21
2013,2013.16.1.10.3,Virat Kohli,Ravichandran Ashwin,24.541,0,0,y,4.434,-0.068,0.159,0.673,62,51
2013,2013.16.1.10.4,Virat Kohli,Ravichandran Ashwin,23.024,1,1,y,6.004,-0.208,0.186,0.765,41,74
2013,2013.16.1.10.5,AB de Villiers,Ravichandran Ashwin,24.898,1,1,y,4.927,0.368,0.946,0.609,74,16
2013,2013.16.1.10.6,Virat Kohli,Ravichandran Ashwin,22.578,1,1,y,3.677,0.183,0.432,0.520,82,50
