YEAR,INNINGS_OVER_BALL,BATSMAN,BOWLER,BOWL_SPEED,CREDIT,DEBIT,IS_RHB,PITCHED_X,PITCHED_Y,STUMPS_Y,STUMPS_Z,LANDING_X,LANDING_Y
2012,2012.57.1.0.1,Chris Gayle,Krishnakant Upadhyay,-1.000,0,0,y,0.624,-0.211,-0.183,0.146,5,5
2012,2012.57.1.0.2,Chris Gayle,Krishnakant Upadhyay,38.017,0,0,y,7.896,-0.066,0.003,0.669,59,58
2012,2012.57.1.0.3,Chris Gayle,Krishnakant Upadhyay,35.512,0,0,y,10.511,0.154,0.525,0.835,66,27
2012,2012.57.1.0.4,Chris Gayle,Krishnakant Upadhyay,34.893,1,1,y,5.798,0.306,0.413,0.374,33,38
2012,2012.57.1.0.5,Tillakaratne Dilshan,Krishnakant Upadhyay,34.447,1,1,y,9.505,-0.200,-0.100,0.852,71,50
2012,2012.57.1.0.6,Chris Gayle,Krishnakant Upadhyay,-1.000,1,1,y,7.718,0.191,0.477,0.741,67,12
2012,2012.57.1.1.1,Chris Gayle,Alfonso Thomas,37.928,1,2,y,8.681,-0.260,0.007,0.814,42,52
2012,2012.57.1.1.2,Tillakaratne Dilshan,Alfonso Thomas,37.372,4,4,y,6.438,-0.657,-0.732,0.616,11,60
2012,2012.57.1.1.3,Tillakaratne Dilshan,Alfonso Thomas,38.151,0,0,y,8.824,-0.495,-0.428,0.711,32,37
2012,2012.57.1.1.4,Tillakaratne Dilshan,Alfonso Thomas,38.006,0,0,y,7.122,-0.178,0.159,0.566,5,5
2012,2012.57.1.1.5,Tillakaratne Dilshan,Alfonso Thomas,37.462,1,1,y,8.141,-0.384,-0.157,0.682,52,63
2012,2012.57.1.1.6,Chris Gayle,Alfonso Thomas,38.293,0,0,y,5.797,0.248,0.662,0.541,5,5
2012,2012.57.1.1.7,Chris Gayle,Alfonso Thomas,37.690,1,1,y,6.266,0.104,0.496,0.479,39,55
2012,2012.57.1.2.1,Chris Gayle,Krishnakant Upadhyay,35.652,6,6,y,3.976,0.487,0.861,0.435,93,66
2012,2012.57.1.2.2,Chris Gayle,Krishnakant Upadhyay,36.158,0,0,y,10.131,0.124,0.708,1.069,60,61
2012,2012.57.1.2.3,Chris Gayle,Krishnakant Upadhyay,34.715,0,0,y,10.863,-0.095,0.245,1.060,42,58
2012,2012.57.1.2.4,Chris Gayle,Krishnakant Upadhyay,34.849,1,1,y,7.509,-0.048,0.403,0.676,70,31
2012,2012.57.1.2.5,Tillakaratne Dilshan,Krishnakant Upadhyay,34.983,1,1,y,6.816,-0.132,0.039,0.567,63,55
2012,2012.57.1.2.6,Chris Gayle,Krishnakant Upadhyay,37.452,6,6,y,7.889,0.135,0.556,0.765,34,93
2012,2012.57.1.3.1,Tillakaratne Dilshan,Bhuvneshwar Kumar,37.735,0,1,y,8.039,-0.059,0.392,0.582,5,5
2012,2012.57.1.3.2,Tillakaratne Dilshan,Bhuvneshwar Kumar,36.719,0,0,y,9.504,-0.401,-0.030,0.838,5,5
2012,2012.57.1.3.3,Tillakaratne Dilshan,Bhuvneshwar Kumar,36.557,0,0,y,7.481,-0.505,-0.422,0.553,42,57
2012,2012.57.1.3.4,Tillakaratne Dilshan,Bhuvneshwar Kumar,36.225,1,1,y,10.100,-0.340,-0.138,0.944,88,46
2012,2012.57.1.3.5,Chris Gayle,Bhuvneshwar Kumar,37.930,0,0,y,8.743,-0.256,0.042,0.650,39,54
2012,2012.57.1.3.6,Chris Gayle,Bhuvneshwar Kumar,35.171,0,0,y,9.305,-0.064,0.575,0.850,69,41
2012,2012.57.1.3.7,Chris Gayle,Bhuvneshwar Kumar,34.237,0,0,y,7.656,-0.180,0.172,0.693,65,26
2012,2012.57.1.4.1,Tillakaratne Dilshan,Alfonso Thomas,37.359,0,0,y,6.661,-0.506,-0.419,0.554,38,54
