YEAR,INNINGS_OVER_BALL,BATSMAN,BOWLER,BOWL_SPEED,CREDIT,DEBIT,IS_RHB,PITCHED_X,PITCHED_Y,STUMPS_Y,STUMPS_Z,LANDING_X,LANDING_Y
2016,2016.49.1.0.1,Quinton de Kock,Ashok Dinda,38.310,0,0,n,4.438,-0.150,-0.234,0.425,5,5
2016,2016.49.1.0.2,Quinton de Kock,Ashok Dinda,37.226,0,0,n,8.885,-0.095,0.091,0.963,42,40
2016,2016.49.1.0.3,Quinton de Kock,Ashok Dinda,36.299,1,1,n,9.103,-0.159,0.050,1.162,37,38
2016,2016.49.1.0.4,Shreyas Iyer,Ashok Dinda,38.581,0,0,y,9.497,-0.272,-0.264,1.039,38,27
2016,2016.49.1.0.5,Shreyas Iyer,Ashok Dinda,37.570,1,1,y,9.224,-0.316,-0.192,1.016,29,17
2016,2016.49.1.0.6,Quinton de Kock,Ashok Dinda,38.674,0,0,n,6.321,-0.151,-0.129,0.704,36,42
2016,2016.49.1.1.1,Shreyas Iyer,Deepak Chahar,36.770,0,0,y,8.142,-0.050,-0.086,0.923,41,37
2016,2016.49.1.1.2,Shreyas Iyer,Deepak Chahar,37.583,0,0,y,8.078,-0.027,-0.017,0.834,41,28
2016,2016.49.1.1.3,Shreyas Iyer,Deepak Chahar,37.028,1,1,y,8.513,0.034,0.150,0.958,65,69
2016,2016.49.1.1.4,Quinton de Kock,Deepak Chahar,37.007,0,0,n,7.335,-0.030,0.468,0.854,5,5
2016,2016.49.1.1.5,Quinton de Kock,Deepak Chahar,38.183,0,0,n,8.373,-0.172,0.356,1.222,5,5
2016,2016.49.1.1.6,Quinton de Kock,Deepak Chahar,37.387,1,1,n,5.142,0.260,0.320,0.629,34,44
2016,2016.49.1.2.1,Quinton de Kock,Ashok Dinda,-1.000,0,0,n,6.107,-0.077,-0.010,0.627,5,5
2016,2016.49.1.2.2,Karun Nair,Ashok Dinda,39.174,0,0,y,4.854,-0.022,0.103,0.531,68,40
2016,2016.49.1.2.3,Karun Nair,Ashok Dinda,38.679,0,0,y,8.219,-0.219,-0.088,0.938,35,29
2016,2016.49.1.2.4,Karun Nair,Ashok Dinda,36.582,0,0,y,9.132,-0.372,-0.150,1.053,60,28
2016,2016.49.1.2.5,Karun Nair,Ashok Dinda,36.100,0,0,y,11.949,-0.300,-0.167,1.774,5,5
2016,2016.49.1.2.6,Karun Nair,Ashok Dinda,35.661,0,0,y,8.538,-0.124,0.156,0.924,62,37
2016,2016.49.1.3.1,Shreyas Iyer,Deepak Chahar,36.370,4,4,y,4.693,-0.324,-0.486,0.526,8,50
2016,2016.49.1.3.2,Shreyas Iyer,Deepak Chahar,34.339,0,0,y,8.666,-0.263,-0.361,1.044,36,27
2016,2016.49.1.3.3,Shreyas Iyer,Deepak Chahar,37.532,1,1,y,8.660,-0.116,-0.168,0.973,37,42
2016,2016.49.1.3.4,Karun Nair,Deepak Chahar,36.954,4,4,y,4.404,-0.745,-0.814,0.498,7,32
2016,2016.49.1.3.5,Karun Nair,Deepak Chahar,37.701,2,2,y,7.275,0.014,0.227,0.566,77,17
2016,2016.49.1.3.6,Karun Nair,Deepak Chahar,37.966,0,0,y,8.507,-0.225,-0.379,1.019,37,37
2016,2016.49.1.4.1,Shreyas Iyer,Ashok Dinda,39.341,1,1,y,8.378,0.023,0.382,0.963,60,38
2016,2016.49.1.4.2,Karun Nair,Ashok Dinda,37.693,4,4,y,7.200,-0.184,-0.107,0.613,25,82
2016,2016.49.1.4.3,Karun Nair,Ashok Dinda,39.105,4,4,y,7.675,-0.137,0.089,0.811,84,14
2016,2016.49.1.4.4,Karun Nair,Ashok Dinda,38.228,1,1,y,6.748,-0.082,0.132,0.778,58,55
2016,2016.49.1.4.5,Shreyas Iyer,Ashok Dinda,37.205,0,0,y,11.846,-0.220,0.250,1.442,0,0
2016,2016.49.1.4.6,Karun Nair,Ashok Dinda,38.199,0,0,y,6.790,-0.282,-0.136,0.649,39,44
2016,2016.49.1.5.1,Sanju Samson,Thisara Perera,35.173,0,0,y,8.342,-0.349,-0.295,1.016,39,30
2016,2016.49.1.5.2,Sanju Samson,Thisara Perera,32.887,1,1,y,7.092,-0.102,0.082,0.873,64,37
2016,2016.49.1.5.3,Karun Nair,Thisara Perera,35.910,0,0,y,8.840,-0.161,0.059,0.936,58,52
2016,2016.49.1.5.4,Karun Nair,Thisara Perera,37.270,0,0,y,7.190,-0.260,-0.059,0.738,46,41
2016,2016.49.1.5.5,Karun Nair,Thisara Perera,35.873,1,1,y,7.485,-0.204,-0.061,0.829,75,15
2016,2016.49.1.5.6,Sanju Samson,Thisara Perera,36.916,1,1,y,7.082,-0.135,0.057,0.890,62,55
2016,2016.49.1.6.1,Sanju Samson,Irfan Pathan,35.449,0,0,y,6.735,0.021,0.098,0.719,66,44
2016,2016.49.1.6.2,Sanju Samson,Irfan Pathan,35.563,0,0,y,6.477,0.230,0.364,0.436,5,5
2016,2016.49.1.6.3,Sanju Samson,Irfan Pathan,33.428,1,1,y,11.271,0.118,-0.016,1.280,81,20
2016,2016.49.1.6.4,Karun Nair,Irfan Pathan,36.200,0,0,y,7.535,-0.189,-0.468,0.803,37,31
2016,2016.49.1.6.5,Karun Nair,Irfan Pathan,-1.000,0,0,y,9.259,0.038,-0.004,1.184,42,34
2016,2016.49.1.6.6,Karun Nair,Irfan Pathan,37.502,1,1,y,8.304,-0.297,-0.840,1.019,18,31
2016,2016.49.1.7.1,Karun Nair,Thisara Perera,35.990,1,1,y,8.886,-0.341,-0.220,0.884,35,14
2016,2016.49.1.7.2,Sanju Samson,Thisara Perera,35.596,1,1,y,8.822,-0.267,-0.213,1.017,32,14
2016,2016.49.1.7.3,Karun Nair,Thisara Perera,35.096,0,0,y,9.676,-0.326,-0.288,0.937,35,29
2016,2016.49.1.7.4,Karun Nair,Thisara Perera,31.495,0,0,y,12.163,-0.430,-0.413,1.866,5,5
2016,2016.49.1.7.5,Karun Nair,Thisara Perera,37.276,0,0,y,8.363,-0.199,0.054,0.935,56,47
2016,2016.49.1.7.6,Karun Nair,Thisara Perera,37.847,0,0,y,8.374,-0.334,-0.255,1.019,42,27
2016,2016.49.1.8.1,Sanju Samson,Irfan Pathan,36.258,2,2,y,7.701,-0.239,-0.614,0.735,29,12
2016,2016.49.1.8.2,Sanju Samson,Irfan Pathan,34.901,2,2,y,8.388,-0.377,-1.031,0.704,14,26
2016,2016.49.1.8.3,Sanju Samson,Irfan Pathan,35.637,1,1,y,0.718,0.129,0.143,0.127,55,54
2016,2016.49.1.8.4,Karun Nair,Irfan Pathan,35.884,4,4,y,9.859,0.104,-0.191,1.164,91,54
2016,2016.49.1.8.5,Karun Nair,Irfan Pathan,35.771,1,1,y,6.671,-0.012,-0.137,0.788,35,36
2016,2016.49.1.8.6,Sanju Samson,Irfan Pathan,36.475,0,0,y,6.050,-0.381,-0.626,0.636,5,5
2016,2016.49.1.9.1,Karun Nair,Adam Zampa,24.057,2,2,y,2.847,-0.157,-0.239,0.470,13,54
2016,2016.49.1.9.2,Karun Nair,Adam Zampa,23.678,2,2,y,3.728,-0.400,-0.587,0.589,22,57
2016,2016.49.1.9.3,Karun Nair,Adam Zampa,23.319,1,1,y,5.240,-0.086,-0.143,0.692,33,28
2016,2016.49.1.9.4,Sanju Samson,Adam Zampa,26.021,1,1,y,5.291,-0.035,0.192,0.637,86,37
2016,2016.49.1.9.5,Karun Nair,Adam Zampa,20.867,1,1,y,5.804,-0.331,0.053,1.069,82,43
2016,2016.49.1.9.6,Sanju Samson,Adam Zampa,20.557,0,0,y,6.272,-0.197,-0.671,0.684,0,0
2016,2016.49.1.10.1,Karun Nair,Irfan Pathan,34.623,0,0,y,6.403,-0.129,-0.247,0.776,38,28
2016,2016.49.1.10.2,Karun Nair,Irfan Pathan,33.631,4,4,y,9.896,0.095,-0.142,1.145,91,60
2016,2016.49.1.10.3,Karun Nair,Irfan Pathan,35.299,0,0,y,7.565,-0.087,-0.372,0.690,49,37
2016,2016.49.1.10.4,Karun Nair,Irfan Pathan,35.166,0,0,y,6.891,-0.132,-0.460,0.839,36,28
2016,2016.49.1.10.5,Karun Nair,Irfan Pathan,35.913,1,1,y,8.000,-0.103,-0.422,0.920,43,56
2016,2016.49.1.10.6,Rishabh Pant,Irfan Pathan,35.719,0,0,n,6.451,0.601,0.871,0.658,5,5
2016,2016.49.1.11.1,Karun Nair,Ravichandran Ashwin,24.202,1,1,y,5.501,-0.513,-0.406,0.781,34,44
2016,2016.49.1.11.2,Rishabh Pant,Ravichandran Ashwin,19.277,0,0,n,6.153,0.181,0.580,0.927,63,38
2016,2016.49.1.11.3,Rishabh Pant,Ravichandran Ashwin,21.891,0,0,n,4.720,0.126,0.416,0.886,5,5
2016,2016.49.1.11.4,Rishabh Pant,Ravichandran Ashwin,25.871,1,1,n,4.033,-0.139,-0.287,0.551,41,27
2016,2016.49.1.11.5,Karun Nair,Ravichandran Ashwin,20.051,1,1,y,6.146,-0.698,-0.012,0.890,86,51
2016,2016.49.1.11.6,Rishabh Pant,Ravichandran Ashwin,23.359,0,0,n,5.692,0.023,0.084,0.829,51,43
2016,2016.49.1.12.1,Karun Nair,Adam Zampa,23.095,1,1,y,4.749,-0.116,-0.115,0.546,34,39
2016,2016.49.1.12.2,Rishabh Pant,Adam Zampa,20.102,1,1,n,6.246,-0.152,0.401,0.977,19,25
2016,2016.49.1.12.3,Karun Nair,Adam Zampa,22.174,1,1,y,4.156,-0.211,-0.488,0.839,66,26
2016,2016.49.1.12.4,Rishabh Pant,Adam Zampa,20.703,0,0,n,4.919,0.229,0.378,0.728,5,5
2016,2016.49.1.12.5,Rishabh Pant,Adam Zampa,19.787,2,2,n,6.316,-0.280,0.219,0.727,9,33
2016,2016.49.1.12.6,Rishabh Pant,Adam Zampa,22.041,0,0,n,3.196,-0.017,0.169,0.672,0,0
2016,2016.49.1.13.1,JP Duminy,Ravichandran Ashwin,20.467,0,0,n,4.672,-0.130,0.110,0.633,61,38
2016,2016.49.1.13.2,JP Duminy,Ravichandran Ashwin,23.086,1,1,n,4.063,0.000,0.271,0.585,87,60
2016,2016.49.1.13.3,Karun Nair,Ravichandran Ashwin,19.620,0,0,y,4.978,-0.630,-0.029,0.895,57,34
2016,2016.49.1.13.4,Karun Nair,Ravichandran Ashwin,25.232,1,1,y,3.635,-0.422,-0.236,0.616,72,72
2016,2016.49.1.13.5,JP Duminy,Ravichandran Ashwin,23.550,4,4,n,3.405,-0.424,-0.303,0.725,32,8
2016,2016.49.1.13.6,JP Duminy,Ravichandran Ashwin,20.474,0,0,n,4.348,-0.144,-0.001,0.780,46,39
2016,2016.49.1.14.1,Karun Nair,Adam Zampa,23.707,0,0,y,2.992,-0.228,-0.334,0.489,5,5
2016,2016.49.1.14.2,Karun Nair,Adam Zampa,23.805,2,2,y,4.596,-0.199,-0.295,0.708,17,67
2016,2016.49.1.14.3,Karun Nair,Adam Zampa,22.848,0,0,y,5.635,-0.059,-0.120,0.697,0,0
2016,2016.49.1.14.4,Chris Morris,Adam Zampa,22.281,1,1,y,2.717,-0.205,0.021,0.643,65,78
2016,2016.49.1.14.5,JP Duminy,Adam Zampa,22.758,1,1,n,5.711,0.186,0.591,0.597,63,28
2016,2016.49.1.14.6,Chris Morris,Adam Zampa,20.902,1,1,y,6.545,-0.314,-0.375,0.663,20,52
2016,2016.49.1.15.1,Chris Morris,Ravichandran Ashwin,24.126,0,0,y,5.874,-0.387,0.058,0.960,5,5
2016,2016.49.1.15.2,Chris Morris,Ravichandran Ashwin,24.375,1,1,y,7.225,-0.321,0.069,0.690,87,50
2016,2016.49.1.15.3,JP Duminy,Ravichandran Ashwin,20.901,1,1,n,5.061,0.002,0.214,0.628,62,36
2016,2016.49.1.15.4,Chris Morris,Ravichandran Ashwin,24.219,1,1,y,5.531,0.194,0.354,0.872,63,36
2016,2016.49.1.15.5,JP Duminy,Ravichandran Ashwin,22.004,0,0,n,6.237,0.131,0.312,0.796,62,37
2016,2016.49.1.15.6,JP Duminy,Ravichandran Ashwin,22.403,1,1,n,5.554,-0.090,0.310,0.839,22,22
2016,2016.49.1.16.1,JP Duminy,Adam Zampa,22.842,1,1,n,1.899,0.964,1.152,0.454,67,79
2016,2016.49.1.16.2,Chris Morris,Adam Zampa,22.885,1,1,y,5.171,-0.388,-0.681,0.840,20,35
2016,2016.49.1.16.3,JP Duminy,Adam Zampa,22.513,1,1,n,2.953,0.065,0.227,0.447,14,41
2016,2016.49.1.16.4,Chris Morris,Adam Zampa,24.550,0,0,y,4.884,-0.159,-0.164,0.600,34,38
2016,2016.49.1.16.5,Chris Morris,Adam Zampa,20.518,0,0,y,5.704,0.165,-0.017,0.754,5,5
2016,2016.49.1.16.6,Chris Morris,Adam Zampa,26.249,1,1,y,6.455,-0.203,-0.134,0.690,11,39
2016,2016.49.1.17.1,Chris Morris,Ravichandran Ashwin,24.633,4,4,y,7.275,-0.057,0.516,0.591,60,6
2016,2016.49.1.17.2,Chris Morris,Ravichandran Ashwin,25.615,0,1,y,6.522,-1.235,-1.261,0.650,5,5
2016,2016.49.1.17.3,Chris Morris,Ravichandran Ashwin,21.809,0,1,y,5.977,-0.280,0.631,0.773,5,5
2016,2016.49.1.17.4,Chris Morris,Ravichandran Ashwin,19.970,1,1,y,5.260,-0.679,-0.170,0.576,14,22
2016,2016.49.1.17.5,JP Duminy,Ravichandran Ashwin,20.424,1,1,n,5.766,0.116,0.562,0.877,75,29
2016,2016.49.1.17.6,Chris Morris,Ravichandran Ashwin,25.359,1,1,y,6.565,-0.159,-0.083,0.622,66,67
2016,2016.49.1.17.7,JP Duminy,Ravichandran Ashwin,24.588,1,1,n,5.983,0.031,-0.042,0.512,13,42
